title,release_date,tmdb_vote_count,tmdb_vote_average,genre_names,budget,revenue,runtime_in_min,tmdb_popularity,production_company_name,production_country_name,spoken_languages,director,writer,actors,imdb_rating,imdb_votes,metascore,age_rating,awards,rotten_tomatoes_rating,meta_critic_rating
The Roundup,2022-05-18,327,7.232,"Action, Crime, Thriller, Adventure",7600000.0,101166707.0,106.0,42.27,"BA Entertainment, Hong Film, Big Punch Pictures",South Korea,"Korean, English",Lee Sang-yong,"Ma Dong-seok, Min-Seong Kim, Young-jong Lee","Ma Dong-seok, Son Suk-ku, Choi Gwi-hwa",7.0,"12,659",,,9 wins & 9 nominations,96.0,
Monstrous,2022-05-13,303,5.9,"Horror, Mystery, Thriller",,138450.0,89.0,9.813,"Burning Sky Films, Snakebyte Productions and Entertainment Group, Willow Pictures, Scarlett Pictures, Tip-Top Productions, Skipstone Pictures","Australia, United States of America",English,Chris Sivertson,Carol Chrest,"Christina Ricci, Santino Barnard, Don Baldaramos",4.7,"5,286",52.0,PG-13,1 win total,55.0,52.0
Last Seen Alive,2022-05-12,970,6.4,"Action, Thriller",,5950199.0,95.0,24.053,"Voltage Pictures, Perfection Hunter Productions, G-BASE, Marc Frydman Productions",United States of America,"English, Italian",Brian Goodman,Marc Frydman,"Gerard Butler, Jaimie Alexander, Russell Hornsby",5.7,"32,625",,R,,14.0,
The Quiet Girl,2022-05-12,431,7.495,Drama,1.0,6.0,94.0,12.789,Inscéal,Ireland,"English, Irish",Colm Bairéad,"Claire Keegan, Colm Bairéad","Carrie Crowley, Andrew Bennett, Catherine Clinch",7.7,"25,030",89.0,PG-13,Nominated for 1 Oscar. 33 wins & 43 nominations total,97.0,89.0
Firestarter,2022-05-12,710,5.6,"Horror, Science Fiction",12000000.0,15000000.0,94.0,12.106,"Blumhouse Productions, Weed Road Pictures, BoulderLight Pictures, Universal Pictures, dentsu, The De Laurentiis Company, Night Platform",United States of America,English,Keith Thomas,"Stephen King, Scott Teems","Zac Efron, Ryan Kiera Armstrong, Sydney Lemmon",4.6,"24,186",32.0,R,7 nominations total,10.0,32.0
The Valet,2022-05-11,568,7.511,"Comedy, Romance",,,124.0,16.547,"3Pas Studios, Lionsgate",United States of America,"Spanish, English",Richard Wong,"Bob Fisher, Rob Greenberg, Francis Veber","Eugenio Derbez, Samara Weaving, Max Greenfield",6.7,"16,864",62.0,PG-13,4 nominations total,76.0,62.0
Senior Year,2022-05-11,844,5.933,Comedy,,,114.0,16.07,"Paramount Players, Broken Road Productions, Camp Sugar",United States of America,English,Alex Hardcastle,"Andrew Knauer, Arthur Pielli, Brandon Scott Jones","Rebel Wilson, Angourie Rice, Mary Holland",5.5,"45,423",47.0,R,3 nominations total,23.0,47.0
The Takedown,2022-05-06,478,6.0,"Comedy, Action",,,119.0,11.457,Mandarin Production,France,French,Louis Leterrier,"Stéphane Kazandjian, Pierre Le Coz, Franck Gastambide","Omar Sy, Laurent Lafitte, Izïa Higelin",5.8,"9,085",43.0,TV-MA,,40.0,43.0
Along for the Ride,2022-05-06,347,6.682,"Romance, Drama",,,106.0,12.031,,United States of America,English,Sofia Alvarez,"Sarah Dessen, Sofia Alvarez","Emma Pasarow, Belmont Cameli, Laura Kariuki",6.1,"9,669",55.0,TV-14,1 win & 1 nomination,58.0,55.0
Doctor Strange in the Multiverse of Madness,2022-05-04,9351,7.268,"Fantasy, Action, Adventure",200000000.0,955775804.0,126.0,103.572,"Marvel Studios, Kevin Feige Productions",United States of America,"Cantonese, English, Spanish",Sam Raimi,"Michael Waldron, Stan Lee, Steve Ditko","Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor",6.9,"502,836",60.0,PG-13,10 wins & 30 nominations total,74.0,60.0
Sniper: The White Raven,2022-05-03,781,7.645,"War, Action, Drama",1000000.0,881.0,120.0,50.508,UM Group,Ukraine,"Ukrainian, Russian, Spanish",Marian Bushan,"Marian Bushan, Mykola Voronin","Pavlo Aldoshyn, Maryna Koshkina, Andrey Mostrenko",6.4,"7,116",54.0,R,3 nominations total,72.0,54.0
Crush,2022-04-29,430,7.4,"Comedy, Romance",,,92.0,16.988,"Animal Pictures, American High, Depth of Field, LD Entertainment, 3 Arts Entertainment",United States of America,English,Sammi Cohen,"Kirsten King, Casey Rackham","Rowan Blanchard, Auli'i Cravalho, Isabella Ferreira",6.3,"10,476",56.0,TV-MA,1 win & 1 nomination,81.0,56.0
Memory,2022-04-28,1522,6.8,"Action, Thriller, Crime",30000000.0,13900000.0,114.0,37.219,"Black Bear Pictures, Welle Entertainment, Saville Productions, Open Road Films, Briarcliff Entertainment, STXfilms",United States of America,"English, Spanish",Martin Campbell,"Dario Scardapane, Jef Geeraerts, Carl Joos","Liam Neeson, Guy Pearce, Taj Atwal",5.7,"38,099",41.0,R,,29.0,41.0
Downton Abbey: A New Era,2022-04-27,501,7.197,"Drama, Romance, History, Mystery",40000000.0,92651384.0,125.0,16.89,"Carnival Films, Focus Features",United Kingdom,"English, French, Portuguese",Simon Curtis,Julian Fellowes,"Hugh Bonneville, Jim Carter, Michelle Dockery",7.4,"33,201",63.0,PG,4 nominations,86.0,63.0
365 Days: This Day,2022-04-26,1658,5.897,"Romance, Drama",,,111.0,228.685,"Ekipa, Open Mind Production",Poland,"English, French, Italian, Polish, Spanish","Barbara Bialowas, Tomasz Mandes","Mojca Tirs, Blanka Lipinska, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna",2.7,"25,390",,TV-MA,1 nomination,0.0,
The Unbearable Weight of Massive Talent,2022-04-20,2076,6.792,"Action, Comedy, Crime",30000000.0,29116320.0,107.0,26.559,"Saturn Films, Burr! Productions",United States of America,"English, Spanish",Tom Gormican,"Tom Gormican, Kevin Etten","Nicolas Cage, Pedro Pascal, Tiffany Haddish",7.0,"165,781",68.0,R,3 wins & 24 nominations total,87.0,68.0
Choose or Die,2022-04-15,800,5.283,"Horror, Thriller, Science Fiction",,,85.0,11.276,"Anton, Stigma Films",United Kingdom,English,Toby Meakins,"Simon Allen, Toby Meakins, Matthew James Wilkinson","Iola Evans, Asa Butterfield, Robert Englund",4.8,"26,897",43.0,MA-17,,31.0,43.0
Father Stu,2022-04-13,630,7.1,Drama,4000000.0,21591034.0,124.0,18.246,"Municipal Pictures, Palm Drive Productions",United States of America,"English, Portuguese",Rosalind Ross,Rosalind Ross,"Mark Wahlberg, Mel Gibson, Jacki Weaver",6.5,"32,813",40.0,PG-13,2 wins & 2 nominations total,42.0,40.0
Metal Lords,2022-04-08,662,6.896,"Comedy, Drama, Music",,,97.0,11.71,Bighead Littlehead,United States of America,"English, Japanese",Peter Sollett,D.B. Weiss,"Jaeden Martell, Adrian Greensmith, Isis Hainsworth",6.7,"33,935",59.0,R,,62.0,59.0
All the Old Knives,2022-04-08,548,6.0,"Thriller, Action",,,101.0,13.431,"Barry Linen Motion Pictures, Chockstone Pictures, Jackson Pictures, Nick Wechsler Productions",United States of America,English,Janus Metz,Olen Steinhauer,"Goksin Erdemli, Kasia Madera, Chris Pine",6.1,"29,789",62.0,R,1 win,63.0,62.0
Return to Space,2022-04-07,650,6.5,Documentary,,,128.0,8.03,Little Monster Films,United States of America,English,"Jimmy Chin, Elizabeth Chai Vasarhelyi",,"Elon Musk, Bob Behnken, Doug Hurley",7.3,"5,898",56.0,TV-MA,Nominated for 1 Primetime Emmy. 2 nominations total,79.0,56.0
The Northman,2022-04-07,4427,7.0,"Action, Adventure, Fantasy",70000000.0,69633110.0,137.0,50.27,"Focus Features, New Regency Pictures, Regency Enterprises, Square Peg",United States of America,"English, Icelandic",Robert Eggers,"Sjón, Robert Eggers","Alexander Skarsgård, Nicole Kidman, Claes Bang",7.0,"271,251",82.0,R,6 wins & 65 nominations total,90.0,82.0
Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,4599,6.6,"Fantasy, Adventure",200000000.0,407200000.0,142.0,58.963,"Warner Bros. Pictures, Heyday Films","United Kingdom, United States of America",English,David Yates,"J.K. Rowling, Steve Kloves","Eddie Redmayne, Jude Law, Ezra Miller",6.2,"181,039",47.0,PG-13,7 nominations total,46.0,47.0
You Won't Be Alone,2022-04-01,303,6.6,"Horror, Drama",,125000.0,108.0,10.779,"Causeway Films, Head Gear Films, Metrol Technology","Australia, United Kingdom","Macedonian, Portuguese",Goran Stolevski,Goran Stolevski,"Noomi Rapace, Anamaria Marinca, Alice Englert",6.4,"12,356",82.0,R,4 wins & 16 nominations total,93.0,82.0
Operation Mincemeat,2022-04-01,704,6.5,"War, History, Drama",,,128.0,15.605,"See-Saw Films, Cohen Media Group, A Film Location Company, Archery Pictures, FilmNation Entertainment, Palma Pictures, Cross City Films, Haversack Films Limited","Australia, Spain, United Kingdom, United States of America","English, German, Spanish",John Madden,"Michelle Ashford, Ben Macintyre","Colin Firth, Matthew Macfadyen, Kelly Macdonald",6.6,"39,497",65.0,PG-13,2 nominations total,83.0,65.0
Rise,2022-03-30,417,7.4,"Comedy, Drama",7780000.0,11196824.0,117.0,9.456,"Ce qui me meut, France 2 Cinéma, StudioCanal, Panache Productions, La Compagnie Cinématographique","Belgium, France",French,Cédric Klapisch,"Santiago Amigorena, Cédric Klapisch","Marion Barbeau, Hofesh Shechter, Denis Podalydès",7.1,"3,404",,,3 wins & 11 nominations,,
Sonic the Hedgehog 2,2022-03-30,5340,7.5,"Action, Adventure, Family, Comedy",110000000.0,405421518.0,123.0,170.969,"Original Film, Blur Studio, Marza Animation Planet, Paramount Pictures, SEGA, SEGA of America","Japan, United States of America",English,Jeff Fowler,"Pat Casey, Josh Miller, John Whittington","James Marsden, Jim Carrey, Ben Schwartz",6.5,"98,017",47.0,PG,2 wins & 3 nominations total,69.0,47.0
Morbius,2022-03-30,4374,6.0,"Action, Science Fiction, Fantasy",75000000.0,167635712.0,105.0,37.662,"Columbia Pictures, Matt Tolmach Productions, Arad Productions",United States of America,"English, Greek, Norwegian, Spanish",Daniel Espinosa,"Matt Sazama, Burk Sharpless","Jared Leto, Matt Smith, Adria Arjona",5.1,"160,126",35.0,PG-13,3 wins & 4 nominations total,15.0,35.0
The Bubble,2022-03-25,463,4.604,Comedy,,,127.0,8.97,Apatow Productions,United States of America,"English, Hindi, Spanish",Judd Apatow,"Judd Apatow, Pam Brady","Harry Trevaldwyn, Samson Kayo, Peter Serafinowicz",4.7,"29,241",34.0,R,3 nominations total,20.0,34.0
Minnal Murali,2021-12-16,310,7.1,"Action, Comedy, Fantasy",2111711.0,,158.0,10.099,Weekend Blockbusters,India,"English, Malayalam",Basil Joseph,"Arun Anirudhan, Justin Mathew","Tovino Thomas, Guru Somasundaram, Aju Varghese",7.8,"33,252",,TV-14,12 wins & 15 nominations total,75.0,
The Cellar,2022-03-25,462,6.5,"Horror, Mystery",,,94.0,16.299,"Savage Productions, Hail Mary Pictures, Epic Pictures Group, Wrong Men, BNP Paribas Fortis, BCP Asset Management, Fís Éireann/Screen Ireland","Belgium, Ireland",English,Brendan Muldowney,Brendan Muldowney,"Elisha Cuthbert, Eoin Macken, Abby Fitz",5.3,"8,287",49.0,,,31.0,49.0
The Lost City,2022-03-24,3643,6.495,"Action, Adventure, Comedy",74000000.0,192907684.0,112.0,39.79,"Fortis Films, 3dot Productions, Exhibit A",United States of America,"English, French, Latin, Portuguese, Spanish","Aaron Nee, Adam Nee","Oren Uziel, Dana Fox, Adam Nee","Sandra Bullock, Channing Tatum, Daniel Radcliffe",6.1,"167,659",60.0,PG-13,3 wins & 10 nominations total,79.0,60.0
Shut In,2022-03-24,364,6.8,"Thriller, Horror, Drama",,304106.0,90.0,9.192,"Bonfire Legend, Voltage Pictures, The Daily Wire",United States of America,"English, Danish",D.J. Caruso,Melanie Toast,"Rainey Qualley, Jake Horowitz, Vincent Gallo",5.8,"11,297",,TV-MA,,50.0,
RRR,2022-03-24,1346,7.7,"Action, Adventure, Drama",69000000.0,160000000.0,185.0,40.818,DVV Entertainment,India,"English, Telugu",S.S. Rajamouli,"Vijayendra Prasad, S.S. Rajamouli, Sai Madhav Burra","N.T. Rama Rao Jr., Ram Charan, Ajay Devgn",7.8,"175,278",83.0,TV-MA,Won 1 Oscar. 93 wins & 158 nominations total,96.0,83.0
Everything Everywhere All at Once,2022-03-24,6800,7.761,"Action, Adventure, Science Fiction",25000000.0,139200000.0,140.0,66.179,"IAC Films, AGBO, Ley Line Entertainment, Year of the Rat",United States of America,"Cantonese, Mandarin, English","Daniel Kwan, Daniel Scheinert","Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis",7.8,"565,023",81.0,R,Won 7 Oscars. 411 wins & 394 nominations total,94.0,81.0
Incantation,2022-03-18,684,6.8,Horror,,5700000.0,111.0,25.972,"Monkey Movies, Moonshine Animation, Kaohsiung Film Fund",Taiwan,Mandarin,Kevin Ko,"Che-Wei Chang, Kevin Ko","Hsuan-yen Tsai, Sin-Ting Huang, Ying-Hsuan Kao",6.2,"23,829",,TV-MA,4 wins & 14 nominations total,77.0,
Black Crab,2022-03-18,835,6.264,"Action, Thriller",,,109.0,17.726,Indio Film,Sweden,"Danish, Swedish",Adam Berg,"Adam Berg, Pelle Rådström, Jerker Virdborg","Noomi Rapace, Jakob Oftebro, Dar Salim",5.7,"27,196",54.0,TV-MA,3 wins & 1 nomination total,53.0,54.0
Dual,2022-03-18,321,6.0,"Science Fiction, Comedy, Drama",4500000.0,,95.0,10.971,"XYZ Films, IPR.VC, Resolute Films and Entertainment","Canada, Finland, United States of America",English,Riley Stearns,Riley Stearns,"Karen Gillan, Aaron Paul, Beulah Koale",5.8,"13,584",62.0,R,2 wins & 5 nominations,71.0,62.0
Deep Water,2022-03-18,1427,5.828,"Drama, Mystery, Thriller",49000000.0,,116.0,51.884,"New Regency Pictures, Entertainment 360, Film Rites, Keep Your Head Productions",United States of America,English,Adrian Lyne,"Zach Helm, Sam Levinson, Patricia Highsmith","Ben Affleck, Ana de Armas, Tracy Letts",5.5,"62,435",53.0,R,2 nominations total,35.0,53.0
Rescued by Ruby,2022-03-17,312,7.5,"Family, Drama",,,93.0,10.531,Fezziwig Studios,Canada,English,Katt Shea,"Squire D. Rushnell, Louise DuArt, Karen Janszen","Grant Gustin, Scott Wolf, Kaylah Zander",7.2,"11,283",,TV-G,2 wins & 8 nominations,88.0,
Speak No Evil,2022-03-17,887,6.62,"Horror, Thriller, Drama",3200000.0,631249.0,97.0,14.16,"Profile Pictures, OAK Motion Pictures","Denmark, Netherlands","Danish, Dutch, English",Christian Tafdrup,"Christian Tafdrup, Mads Tafdrup","Morten Burian, Sidsel Siem Koch, Fedja van Huêt",6.6,"55,441",78.0,Not Rated,9 wins & 25 nominations total,84.0,78.0
X,2022-03-17,3405,6.7,"Horror, Mystery, Thriller",1000000.0,15113105.0,106.0,64.202,"A24, Little Lamb Productions",United States of America,English,Ti West,Ti West,"Mia Goth, Jenna Ortega, Brittany Snow",6.5,"200,856",80.0,R,4 wins & 49 nominations total,94.0,80.0
Run to You,2022-03-17,360,6.79,"Comedy, Romance",,,113.0,7.354,"Wildside, Vision Distribution",Italy,Italian,Riccardo Milani,"Furio Andreotti, Giulia Calenda, Riccardo Milani","Pierfrancesco Favino, Miriam Leone, Giulio Base",6.4,"2,043",,,1 win & 3 nominations total,,
The Bad Guys,2022-03-17,2114,7.5,"Family, Animation, Adventure, Comedy, Crime",80000000.0,250162278.0,100.0,41.882,DreamWorks Animation,United States of America,English,Pierre Perifel,"Aaron Blabey, Etan Cohen","Sam Rockwell, Marc Maron, Awkwafina",6.8,"64,867",64.0,PG,2 wins & 30 nominations total,88.0,64.0
Ambulance,2022-03-16,2178,6.649,"Thriller, Action, Crime, Drama",40000000.0,52303589.0,136.0,23.097,"Bay Films, Endeavor Content, New Republic Pictures, Project X Entertainment",United States of America,English,Michael Bay,"Chris Fedak, Laurits Munch-Petersen, Lars Andreas Pedersen","Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González",6.1,"105,597",55.0,R,12 nominations total,68.0,55.0
Windfall,2022-03-11,419,5.4,"Thriller, Crime, Drama",,,93.0,7.182,"High Frequency Entertainment, Case Study Films, Mutressa Movies",United States of America,English,Charlie McDowell,"Charlie McDowell, Jason Segel, Justin Lader","Jason Segel, Lily Collins, Jesse Plemons",5.7,"27,321",52.0,R,,59.0,52.0
The Exorcism of God,2022-03-11,1084,7.1,"Horror, Crime, Drama, Fantasy",1500000.0,,98.0,31.941,"Epica Pictures INC, Kabche Film Production, Hakuhn, In the Works Productions, Terminal, Mitos Production Company","Mexico, United States of America, Venezuela","Spanish, English",Alejandro Hidalgo,"Alejandro Hidalgo, Santiago Fernández Calvete","Hector Kotsifakis, Will Beinbrink, Oscar Flores",5.3,"5,608",41.0,R,7 wins & 2 nominations total,57.0,41.0
The Adam Project,2022-03-11,4427,7.028,"Adventure, Science Fiction",116000000.0,,106.0,27.144,"Skydance Media, Maximum Effort, 21 Laps Entertainment",United States of America,English,Shawn Levy,"Jonathan Tropper, T.S. Nowlin, Jennifer Flackett","Ryan Reynolds, Walker Scobell, Mark Ruffalo",6.7,"242,004",55.0,PG-13,1 win & 16 nominations total,68.0,55.0
The Contractor,2022-03-10,919,6.4,"Action, Thriller",,2122288.0,103.0,38.973,"Thunder Road, 30WEST, STXfilms, Ingenious Media, Icon Films","United Kingdom, United States of America","English, French, German",Tarik Saleh,J.P. Davis,"Chris Pine, Gillian Jacobs, Sander Thomas",5.8,"31,345",52.0,R,,,52.0
Turning Red,2022-03-10,5328,7.352,"Animation, Family, Comedy, Fantasy",175000000.0,21328962.0,100.0,75.076,"Walt Disney Pictures, Pixar",United States of America,"Cantonese, Mandarin, Korean, French, English",Domee Shi,"Domee Shi, Julia Cho, Sarah Streicher","Rosalie Chiang, Sandra Oh, Ava Morse",7.0,"161,461",83.0,PG,Nominated for 1 Oscar. 11 wins & 93 nominations total,95.0,83.0
Goliath,2022-03-09,363,6.836,"Thriller, Drama",,,121.0,5.907,"GapBusters, A Single Man Productions","Belgium, France",French,Frédéric Tellier,"Gaëlle Bellan, Simon Moutaïrou, Frédéric Tellier","Gilles Lellouche, Pierre Niney, Emmanuelle Bercot",6.8,"2,206",,,,,
After Yang,2022-03-04,422,6.4,"Science Fiction, Drama",,131465.0,96.0,11.31,"A24, Cinereach, Per Capita Productions",United States of America,"Mandarin, English",Kogonada,"Alexander Weinstein, Kogonada","Colin Farrell, Jodie Turner-Smith, Malea Emma Tjandrawidjaja",6.6,"24,221",78.0,PG,13 wins & 38 nominations total,89.0,78.0
Hatching,2022-03-04,430,6.258,"Horror, Fantasy, Drama",3896000.0,508000.0,91.0,16.589,"Silva Mysterium, uMedia, Film i Väst, HOBAB, Evil Doghouse Productions","Belgium, Finland, Norway, Sweden",Finnish,Hanna Bergholm,"Hanna Bergholm, Ilja Rautsi","Siiri Solalinna, Sophia Heikkilä, Jani Volanen",6.2,"16,545",75.0,,6 wins & 11 nominations total,92.0,75.0
The Weekend Away,2022-03-03,706,6.0,"Thriller, Mystery",,,90.0,11.628,42,United Kingdom,English,Kim Farrant,Sarah Alderson,"Leighton Meester, Christina Wolfe, Ziad Bakri",5.7,"31,494",51.0,TV-14,1 win,41.0,51.0
Fresh,2022-03-03,1631,6.986,"Horror, Thriller",,,115.0,31.595,"Legendary Pictures, Hyperobject Industries",United States of America,"English, Portuguese, Spanish",Mimi Cave,Lauryn Kahn,"Daisy Edgar-Jones, Sebastian Stan, Jojo T. Gibbs",6.7,"80,901",67.0,R,2 wins & 17 nominations,82.0,67.0
Zero Fucks Given,2022-03-02,410,6.4,"Drama, Comedy",,,115.0,8.14,"Kidam, Wrong Men, BNP Paribas Fortis, RTBF, Proximus, VOO, BeTV","Belgium, France","English, French, Romanian","Julie Lecoustre, Emmanuel Marre","Mariette Désert, Julie Lecoustre, Emmanuel Marre","Adèle Exarchopoulos, Alexandre Perrier, Mara Taquin",6.4,"5,442",77.0,,6 wins & 16 nominations,95.0,77.0
The Batman,2022-03-01,10640,7.7,"Crime, Mystery, Thriller",185000000.0,772319315.0,177.0,99.11,"6th & Idaho Motion Picture Company, Dylan Clark Productions, DC Films, Warner Bros. Pictures",United States of America,English,Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane","Robert Pattinson, Zoë Kravitz, Jeffrey Wright",7.8,"855,531",72.0,PG-13,Nominated for 3 Oscars. 39 wins & 185 nominations total,85.0,72.0
Restless,2022-02-25,380,6.1,"Action, Thriller, Crime",,,95.0,12.09,"Bright Lights Films, uMedia, Mahi Films, Umedia","Belgium, France",French,Régis Blondeau,"Julien Colombani, Régis Blondeau, Kim Seong-hun","Franck Gastambide, Simon Abkarian, Michaël Abiteboul",5.8,"5,575",,TV-MA,,20.0,
The Outfit,2022-02-25,1143,7.097,"Crime, Drama, Thriller, Mystery",5000000.0,4000000.0,105.0,22.184,"Focus Features, FilmNation Entertainment, Unified Theory, Scoop Productions","United Kingdom, United States of America","English, Japanese, Mandarin, Portuguese, French",Graham Moore,"Graham Moore, Johnathan McClain","Mark Rylance, Zoey Deutch, John Gumley-Mason",7.2,"78,693",69.0,R,1 win & 6 nominations total,86.0,69.0
Studio 666,2022-02-24,301,5.9,"Horror, Comedy, Music",,3018515.0,106.0,11.259,"Roswell Films, Therapy Studios",United States of America,"Portuguese, Spanish, English",BJ McDonnell,"Dave Grohl, Jeff Buhler, Rebecca Hughes","Dave Grohl, Nate Mendel, Pat Smear",5.6,"15,440",50.0,R,2 nominations total,56.0,50.0
No Exit,2022-02-24,1171,6.892,"Thriller, Mystery",,,96.0,21.668,"20th Century Studios, Flitcraft",United States of America,English,Damien Power,"Andrew Barrer, Gabriel Ferrari, Taylor Adams","Havana Rose Liu, Danny Ramirez, David Rysdahl",6.1,"35,347",54.0,R,1 win & 1 nomination total,62.0,54.0
The Jack in the Box: Awakening,2022-02-24,358,6.3,Horror,,1147001.0,89.0,19.033,Fowler Media,United Kingdom,English,Lawrence Fowler,Lawrence Fowler,"Matt McClure, James Swanton, Mollie Hindle",4.4,"1,750",,,1 nomination,,
The Ledge,2022-02-18,358,6.6,"Thriller, Adventure",2500000.0,,86.0,44.056,"Head Gear Films, Metrol Technology, Kreo Films, Trigger Films, Red Production, Evolution Pictures","Serbia, United Arab Emirates, United Kingdom","English, Spanish",Howard J. Ford,Tom Boyle,"Brittany Ashworth, Ben Lamb, Louis Boyer",5.1,"6,569",,R,,31.0,
Texas Chainsaw Massacre,2022-02-18,1476,5.2,"Horror, Crime, Thriller",20000000.0,,83.0,31.039,"Legendary Pictures, Bad Hombre, Exurbia Films, Good Universe",United States of America,English,David Blue Garcia,"Chris Thomas Devlin, Fede Alvarez, Rodo Sayagues","Sarah Yarkin, Elsie Fisher, Mark Burnham",4.7,"64,945",34.0,R,,30.0,34.0
Fistful of Vengeance,2022-02-17,304,5.584,"Action, Fantasy",,,97.0,16.529,"Flame Ventures, Wirthwhile TV",United States of America,"Thai, English",Roel Reiné,"Jessica Chou, Cameron Litvack, Yalun Tu","Iko Uwais, Lewis Tan, Lawrence Kao",4.4,"7,779",44.0,TV-MA,1 nomination total,45.0,44.0
Dog,2022-02-17,1590,7.3,"Drama, Comedy",20000000.0,84774243.0,101.0,24.078,"FilmNation Entertainment, Free Association, Metro-Goldwyn-Mayer",United States of America,English,"Reid Carolin, Channing Tatum","Reid Carolin, Brett Rodriguez","Channing Tatum, Ryder McLaughlin, Aavi Haas",6.5,"48,860",61.0,PG-13,2 wins & 1 nomination total,77.0,61.0
Ennio,2022-02-17,327,8.327,"Documentary, Music, History",,4332386.0,156.0,12.52,"Potemkino, Piano B, Lucky Red, Blossoms Island, Block 2 Pictures, GAGA Corporation","Belgium, China, Germany, Italy, Japan, Netherlands",Italian,Giuseppe Tornatore,Giuseppe Tornatore,"Ennio Morricone, Silvano Agosti, Alessandro Alessandroni",8.2,"6,315",75.0,,10 wins & 7 nominations total,91.0,75.0
Bubble,2022-02-14,422,7.3,"Animation, Adventure, Science Fiction, Fantasy",,,101.0,17.477,"WIT STUDIO, Story, Nitroplus, Lawson Entertainment, Straight Edge, Warner Bros. Japan",Japan,Japanese,Tetsurô Araki,"Gen Urobuchi, Renji Ooki, Naoko Satou","Jun Shison, Riria., Mamoru Miyano",6.4,"8,562",56.0,TV-PG,1 win & 3 nominations total,52.0,56.0
Love Tactics,2022-02-11,308,7.1,"Romance, Comedy",,,97.0,11.872,Lanistar Media,Turkey,Turkish,Emre Kabakusak,Pelin Karamehmetoglu,"Demet Özdemir, Sükrü Özyildiz, Atakan Çelik",5.3,"6,333",,TV-MA,,,
The In Between,2022-02-11,735,7.4,"Romance, Science Fiction, Drama",,,116.0,25.707,"Paramount Players, Paramount Pictures",United States of America,English,Arie Posin,Marc Klein,"Joey King, Kyle Allen, Kim Dickens",5.9,"10,824",,PG-13,,64.0,
Tall Girl 2,2022-02-11,372,5.755,"Comedy, Romance, Drama",24393503.0,,97.0,12.709,Wonderland Sound and Vision,United States of America,"Swedish, English",Emily Ting,Sam Wolfson,"Ava Michelle, Griffin Gluck, Sabrina Carpenter",4.7,"6,647",35.0,TV-PG,1 win,71.0,35.0
Bigbug,2022-02-11,413,5.3,"Science Fiction, Comedy",14000000.0,,110.0,8.759,"Eskwad, Gaumont, Tapioca Films",France,French,Jean-Pierre Jeunet,"Guillaume Laurant, Jean-Pierre Jeunet","Isabelle Nanty, Elsa Zylberstein, Claude Perron",5.5,"10,823",46.0,TV-MA,,47.0,46.0
Against the Ice,2022-02-10,545,6.756,"Drama, Adventure, History",,,101.0,14.411,"RVK Studios, Ill Kippers","Denmark, Iceland",English,Peter Flinth,"Nikolaj Coster-Waldau, Joe Derrick, Ejnar Mikkelsen","Nikolaj Coster-Waldau, Joe Cole, Heida Reed",6.5,"29,473",49.0,TV-MA,1 win & 4 nominations total,57.0,49.0
Blacklight,2022-02-10,1140,6.2,"Action, Thriller, Adventure",43000000.0,15902207.0,104.0,27.843,"The Solution, Zero Gravity Management, Film Victoria, Lightstream Entertainment, Screen Australia, Footloose Productions, Sina Studios, Fourstar Film Partners Production, Elevate Production Finance, Monty the Dog Productions","Australia, China, United States of America",English,Mark Williams,"Nick May, Mark Williams, Brandon Reavis","Liam Neeson, Aidan Quinn, Taylor John Smith",4.8,"26,221",27.0,PG-13,1 win & 1 nomination total,12.0,27.0
Kimi,2022-02-10,886,6.219,"Thriller, Mystery, Crime",3500000.0,,89.0,14.936,"New Line Cinema, HBO Max",United States of America,English,Steven Soderbergh,David Koepp,"Zoë Kravitz, Byron Bowers, Rita Wilson",6.3,"40,570",79.0,R,7 nominations total,92.0,79.0
I Want You Back,2022-02-10,327,6.321,"Comedy, Romance",,,117.0,8.775,"The Safran Company, Amazon Studios, The Walk-Up Company, Big Indie Pictures",United States of America,English,Jason Orley,"Isaac Aptaker, Elizabeth Berger","Charlie Day, Jenny Slate, Scott Eastwood",6.5,"25,160",62.0,R,2 nominations,87.0,62.0
Uncharted,2022-02-10,6097,6.9,"Action, Adventure",120000000.0,407141258.0,116.0,71.27,"Columbia Pictures, Atlas Entertainment, PlayStation Productions, Arad Productions",United States of America,"English, Spanish",Ruben Fleischer,"Rafe Judkins, Art Marcum, Matt Holloway","Tom Holland, Mark Wahlberg, Antonio Banderas",6.3,"276,786",45.0,PG-13,5 nominations total,,45.0
The Wannabes,2022-02-09,313,6.115,Comedy,,2627605.0,102.0,5.262,Gaumont,France,French,Jonathan Barré,"Grégoire Ludig, David Marsais, Jonathan Barré","Grégoire Ludig, David Marsais, Julien Pestel",6.2,"1,555",,,,,
