title,release_date,tmdb_vote_count,tmdb_vote_average,genre_names,budget,revenue,runtime_in_min,tmdb_popularity,production_company_name,production_country_name,spoken_languages,director,writer,actors,imdb_rating,imdb_votes,metascore,age_rating,awards,rotten_tomatoes_rating,meta_critic_rating
Nosferatu,2024-12-25,2107,6.7,"Horror, Fantasy",50000000.0,173394574.0,133.0,508.643,"Focus Features, Studio 8, Maiden Voyage Pictures, Birch Hill Road Entertainment",United States of America,"German, English, Romanian, Russian, Spanish",Robert Eggers,"Robert Eggers, Henrik Galeen, Bram Stoker","Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård",7.6,"89,890",78.0,R,Nominated for 5 BAFTA 31 wins & 146 nominations total,85.0,78.0
The Brutalist,2024-12-20,346,7.0,Drama,9000000.0,31133665.0,215.0,360.66,"Brookstreet Pictures, Kaplan Morrison, Intake Films, Andrew Lauren Productions, Lipsync Productions, Richmond Pictures, Meyohas Studio, Carte Blanche, Pierce Capital Entertainment","United Kingdom, United States of America","Hebrew, Hungarian, Yiddish, English, Italian",Brady Corbet,"Brady Corbet, Mona Fastvold","Adrien Brody, Felicity Jones, Guy Pearce",8.0,"17,788",90.0,R,Nominated for 10 Oscars. 109 wins & 310 nominations total,93.0,90.0
Sonic the Hedgehog 3,2024-12-19,1852,7.769,"Action, Science Fiction, Comedy, Family",122000000.0,472518457.0,110.0,2281.491,"Paramount Pictures, Original Film, Marza Animation Planet, SEGA, Blur Studio, SEGA of America","United States of America, Japan",English,Jeff Fowler,"Pat Casey, Josh Miller, John Whittington","Jim Carrey, Ben Schwartz, Keanu Reeves",7.0,"38,979",56.0,PG,,87.0,56.0
Wallace & Gromit: Vengeance Most Fowl,2024-12-18,369,7.614,"Animation, Comedy, Family, Adventure",,191452.0,79.0,190.946,Aardman,United Kingdom,English,"Merlin Crossingham, Nick Park","Mark Burton, Nick Park","Ben Whitehead, Peter Kay, Lauren Patel",7.9,"9,600",82.0,PG,32 nominations total,100.0,82.0
Mufasa: The Lion King,2024-12-18,1076,7.5,"Adventure, Family, Animation",200000000.0,688700870.0,118.0,2155.3,Walt Disney Pictures,United States of America,English,Barry Jenkins,"Jeff Nathanson, Linda Woolverton, Irene Mecchi","Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone",6.7,"35,741",56.0,PG,12 nominations total,57.0,56.0
A Complete Unknown,2024-12-18,379,7.255,"Drama, Music",65000000.0,97620626.0,140.0,89.519,"Veritas Entertainment Group, Range Media Partners, The Picture Company, Turnpike Films, White Water, Searchlight Pictures",United States of America,English,James Mangold,"James Mangold, Jay Cocks, Elijah Wald","Timothée Chalamet, Edward Norton, Elle Fanning",7.7,"24,545",70.0,R,Nominated for 8 Oscars. 18 wins & 119 nominations total,80.0,70.0
Kraven the Hunter,2024-12-11,1239,6.676,"Action, Adventure, Thriller",120000000.0,59184643.0,127.0,1188.529,"Columbia Pictures, Matt Tolmach Productions, Arad Productions",United States of America,"English, Russian, Turkish",J.C. Chandor,"Richard Wenk, Art Marcum, Matt Holloway","Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger",5.4,"34,835",35.0,R,3 nominations total,16.0,35.0
The Six Triple Eight,2024-12-06,420,7.571,"Drama, War, History",,,130.0,56.957,"Tyler Perry Studios, Mandalay Pictures, Her Excellency Productions, Intuition Productions",United States of America,English,Tyler Perry,"Kevin Hymel, Tyler Perry","Kerry Washington, Ebony Obsidian, Milauna Jackson",6.4,"6,834",51.0,PG-13,3 wins & 4 nominations total,52.0,51.0
The Order,2024-12-05,364,6.691,"Crime, Drama, Thriller",20000000.0,1970445.0,116.0,162.125,"Riff Raff Entertainment, Chasing Epic Pictures, AGC Studios","United Kingdom, United States of America",English,Justin Kurzel,"Zach Baylin, Kevin Flynn, Gary Gerhardt","Jude Law, Nicholas Hoult, Tye Sheridan",6.8,"17,952",75.0,R,2 wins & 5 nominations total,92.0,75.0
Carry-On,2024-12-05,1919,6.912,"Thriller, Action",47000000.0,,120.0,244.482,"Dylan Clark Productions, DreamWorks Pictures",United States of America,English,Jaume Collet-Serra,T.J. Fixman,"Taron Egerton, Jason Bateman, Sofia Carson",6.5,"147,694",69.0,PG-13,1 nomination total,88.0,69.0
The Lord of the Rings: The War of the Rohirrim,2024-12-05,429,6.7,"Animation, Fantasy, Adventure, Family, Action",30000000.0,19958572.0,134.0,439.699,"New Line Cinema, Warner Bros. Animation, Sola Entertainment, Middle-earth Enterprises, WingNut Films, Domain Entertainment","Japan, New Zealand, United States of America",English,Kenji Kamiyama,"Jeffrey Addiss, Will Matthews, Phoebe Gittins","Brian Cox, Gaia Wise, Miranda Otto",6.5,"14,353",54.0,PG-13,,47.0,54.0
Werewolves,2024-12-04,305,6.221,"Action, Horror, Thriller",,1052998.0,94.0,494.532,"The Solution, Pimienta, Monty the Dog Productions","Puerto Rico, United States of America","English, Spanish",Steven C. Miller,Matthew Kennedy,"Frank Grillo, Katrina Law, Ilfenesh Hadera",4.4,"4,917",46.0,R,,50.0,46.0
Our Little Secret,2024-11-27,478,6.283,"Romance, Comedy, Drama",,,101.0,22.26,"Capital Arts Entertainment, Good Entertainment",United States of America,"English, Spanish",Stephen Herek,Hailey DeDominicis,"Lindsay Lohan, Ian Harding, Kristin Chenoweth",,"21,866",41.0,TV-14,1 win total,37.0,41.0
That Christmas,2024-11-27,320,7.1,"Animation, Comedy, Family, Fantasy, Adventure",,,91.0,90.764,"Locksmith Animation, DNEG",United Kingdom,English,Simon Otto,"Richard Curtis, Peter Souter, Andrew Dawson","Bill Nighy, Brian Cox, Guz Khan",6.8,"11,685",60.0,PG,7 nominations total,67.0,60.0
Dear Santa,2024-11-24,355,6.273,"Fantasy, Comedy",,,108.0,28.694,"Paramount Pictures, Farrelly Brothers, Kraymation Films",United States of America,English,Bobby Farrelly,"Ricky Blitt, Peter Farrelly, Dan Ewen","Jack Black, Robert Timothy Smith, Keegan-Michael Key",5.4,"13,676",34.0,PG-13,1 nomination total,24.0,34.0
