ID;GENRE_IDS;RELEASE_DATE;VOTE_COUNT;VOTE_AVERAGE;TITLE
746036;[28, 35, 10749];2024-04-24;2720;7.062;The Fall Guy
934632;[878, 28];2024-04-19;1229;6.1;Rebel Moon - Part Two: The Scargiver
1152014;[35];2024-04-18;679;7.1;A Little Something Extra
937287;[10749, 18];2024-04-18;1991;6.977;Challengers
799583;[28, 35, 10752];2024-04-18;1335;7.089;The Ministry of Ungentlemanly Warfare
1111873;[27, 53];2024-04-16;1369;6.8;Abigail
1051896;[28, 27, 53, 878];2024-04-12;592;6.1;Arcadian
998846;[10402, 36, 18];2024-04-11;538;6.685;Back to Black
929590;[10752, 28, 18];2024-04-10;3242;6.868;Civil War
1127166;[10749, 18];2024-04-03;826;6.496;The Tearsmith
560016;[28, 53];2024-04-03;1039;6.916;Monkey Man
437342;[27];2024-04-03;1011;6.9;The First Omen
984324;[28];2024-03-28;448;6.223;The Wages of Fear
823464;[28, 12, 878];2024-03-27;4043;7.1;Godzilla x Kong: The New Empire
1041613;[27, 9648, 53];2024-03-20;1337;6.232;Immaculate
967847;[14, 12, 35];2024-03-20;1691;6.514;Ghostbusters: Frozen Empire
938614;[27];2024-03-19;1358;7.177;Late Night with the Devil
618588;[12, 18];2024-03-15;739;7.6;Arthur the King
1019420;[10749, 35, 14];2024-03-14;441;6.204;Irish Wish
359410;[28, 53];2024-03-08;2405;6.949;Road House
1022690;[35];2024-03-07;623;6.523;Ricky Stanicky
948549;[10749, 80, 53];2024-03-07;692;6.562;Love Lies Bleeding
763215;[14, 28, 12];2024-03-07;2323;7.03;Damsel
1125311;[27, 9648];2024-03-06;537;6.0;Imaginary
1011985;[16, 10751, 28, 35];2024-03-02;2944;7.082;Kung Fu Panda 4
932420;[878, 28, 80];2024-02-27;594;6.371;Code 8 Part II
693134;[878, 12];2024-02-27;6212;8.2;Dune: Part Two
1139566;[10749, 18, 35];2024-02-23;577;6.957;Through My Window 3: Looking at You
975773;[35, 18, 9648];2024-02-23;431;7.0;Wicked Little Letters
636706;[878, 12, 18];2024-02-23;846;6.735;Spaceman
957304;[35, 80];2024-02-22;407;5.442;Drive-Away Dolls
838209;[9648, 27, 53];2024-02-22;460;7.5;Exhuma
802219;[10402, 36, 18];2024-02-14;796;6.726;Bob Marley: One Love
634492;[28, 14];2024-02-14;2093;5.395;Madame Web
969492;[28, 10752, 53];2024-02-09;1204;7.3;Land of Bad
1014590;[10749, 35];2024-02-07;855;7.2;Upgraded
993784;[35, 27, 10749];2024-02-07;408;6.3;Lisa Frankenstein
1139829;[16, 10751, 35, 14];2024-02-01;531;6.562;Orion and the Dark
848538;[28, 12, 35];2024-01-31;1410;6.1;Argylle
933131;[878, 28];2024-01-25;719;6.724;Badland Hunters
1212073;[28, 12, 80, 18];2024-01-19;573;6.8;Sixty Minutes
1052280;[35, 9648, 878];2024-01-19;508;6.379;It's What's Inside
1096197;[53, 27, 28];2024-01-18;987;6.331;No Way Up
1026436;[53, 35, 18];2024-01-18;746;6.4;Miller's Girl
955916;[28, 35, 80];2024-01-12;1269;6.457;Lift
758679;[53, 18];2024-01-11;449;6.929;Mothers' Instinct
673593;[35];2024-01-10;583;5.921;Mean Girls
626412;[28, 14, 12];2024-01-10;678;6.6;Alienoid: Return to the Future
866398;[80, 28, 53];2024-01-08;3339;7.343;The Beekeeper
1072342;[27];2024-01-03;656;5.582;Night Swim
845783;[27];2023-12-28;376;6.6;Baghead
1063879;[27, 53];2023-12-27;401;6.713;Infested
1062807;[16, 35, 12, 28];2023-12-22;500;7.1;SPY x FAMILY CODE: White
994108;[10749, 18, 14];2023-12-22;784;7.469;All of Us Strangers
1072790;[10749, 35];2023-12-21;2397;6.9;Anyone But You
850165;[36, 18];2023-12-21;936;7.527;The Iron Claw
760774;[36, 18];2023-12-21;742;7.783;One Life
572802;[28, 12, 14];2023-12-20;2945;6.6;Aquaman and the Lost Kingdom
906126;[18, 36];2023-12-15;3048;8.005;Society of the Snow
848326;[878, 18, 28, 10752];2023-12-15;2219;6.3;Rebel Moon - Part One: A Child of Fire
467244;[18, 36, 10752];2023-12-15;2000;7.046;The Zone of Interest
1029575;[28, 35];2023-12-14;1446;7.246;The Family Plan
848187;[28, 35, 10749];2023-12-14;547;5.987;Role Play
365620;[36, 18];2023-12-14;1020;6.414;Ferrari
845111;[12, 28, 18];2023-12-13;685;6.4;The Three Musketeers: Milady
520758;[10751, 16, 12, 35];2023-12-08;762;7.0;Chicken Run: Dawn of the Nugget
792307;[878, 10749, 35];2023-12-07;4444;7.714;Poor Things
940551;[16, 12, 35, 10751];2023-12-06;1919;7.417;Migration
838240;[16, 18, 35, 878];2023-12-06;613;8.0;Robot Dreams
787699;[35, 10751, 14];2023-12-06;3737;7.1;Wonka
891699;[28, 53];2023-11-30;779;6.194;Silent Night
798021;[35, 14, 10751];2023-11-30;660;6.383;Family Switch
1022964;[35, 14, 10751];2023-11-29;417;6.0;Candy Cane Lane
753342;[36, 10752, 10749];2023-11-22;2617;6.366;Napoleon
726209;[18, 9648, 53];2023-11-22;2622;6.4;Leave the World Behind
523607;[18, 10749, 10402];2023-11-22;733;6.343;Maestro
1075794;[16, 35, 10751];2023-11-17;1195;7.446;Leo
1071215;[27, 9648, 53];2023-11-16;1274;6.531;Thanksgiving
930564;[18, 35, 53];2023-11-16;2404;6.997;Saltburn
839369;[18];2023-11-16;839;6.614;May December
621587;[35, 18];2023-11-16;481;6.4;Next Goal Wins
695721;[18, 878, 28];2023-11-15;2871;7.0;The Hunger Games: The Ballad of Songbirds & Snakes
1022796;[16, 10751, 14, 12];2023-11-13;1546;6.3;Wish
1056360;[35, 18];2023-11-10;1045;7.318;American Fiction
976893;[18];2023-11-10;1345;7.772;Perfect Days
823482;[35, 14];2023-11-10;957;6.645;Dream Scenario
609681;[878, 12, 28];2023-11-08;2822;6.04;The Marvels
940721;[878, 27, 28];2023-11-03;2492;7.567;Godzilla Minus One
1075175;[18];2023-11-02;370;6.28;How to Have Sex
1010928;[28, 35, 18];2023-11-01;440;6.1;Wingwomen
1020006;[18, 10749];2023-10-27;824;6.82;Priscilla
840430;[35, 18];2023-10-27;1843;7.689;The Holdovers
1026227;[18, 35, 10752, 36];2023-10-26;1300;8.1;There's Still Tomorrow
800158;[80, 53];2023-10-25;2259;6.558;The Killer
507089;[27, 9648, 53];2023-10-25;4197;7.504;Five Nights at Freddy's
1147400;[16, 12, 28, 14, 10751];2023-10-21;565;7.226;Miraculous World: Paris, Tales of Shadybug and Claw Noir
987917;[35];2023-10-20;358;6.286;Old Dads
862968;[18];2023-10-20;646;6.639;Pain Hustlers
1058694;[18];2023-10-19;439;8.371;Radical
912916;[10749, 18, 35];2023-10-19;401;7.1;The Other Zoey
895549;[18, 36];2023-10-18;464;7.117;NYAD
466420;[80, 36, 18];2023-10-18;3441;7.443;Killers of the Flower Moon
1160164;[10402];2023-10-13;430;8.258;TAYLOR SWIFT | THE ERAS TOUR
901362;[16, 10751, 10402, 14, 35];2023-10-12;875;7.3;Trolls Band Together
837335;[18, 14, 35];2023-10-12;419;7.3;La Chimera
1027073;[28, 53];2023-10-06;428;6.515;In the Land of Saints and Sinners
763165;[18, 36];2023-10-06;507;7.1;The Burial
980026;[28, 18, 36];2023-10-05;368;7.8;The Promised Land
961268;[28, 53];2023-10-05;529;7.0;Ballerina
897087;[28, 35];2023-10-05;1009;6.5;Freelance
744857;[27, 53];2023-10-05;1068;7.286;When Evil Lurks
943134;[12, 18, 878];2023-10-04;734;7.0;The Animal Kingdom
807172;[27];2023-10-04;1078;5.901;The Exorcist: Believer
1172676;[35, 53];2023-09-29;434;6.877;Poison
1151534;[53, 18];2023-09-29;1396;7.356;Nowhere
937249;[53, 878, 28];2023-09-29;503;6.1;57 Seconds
866463;[80, 9648, 53];2023-09-29;1002;6.683;Reptile
1172674;[35];2023-09-28;395;6.6;The Rat Catcher
974931;[35, 27, 878];2023-09-28;897;6.9;Totally Killer
910571;[18, 53, 10749];2023-09-28;516;6.4;Fair Play
1172675;[18];2023-09-27;390;6.8;The Swan
951491;[27, 9648, 53];2023-09-27;2024;7.224;Saw X
944401;[28, 18, 80];2023-09-27;1133;7.904;Dogman
670292;[28, 12, 878];2023-09-27;3184;7.076;The Creator
1188150;[99];2023-09-26;417;6.464;Return
1139087;[16, 10751, 14, 35];2023-09-24;364;8.294;Once Upon a Studio
830764;[27, 14];2023-09-23;363;5.6;Pet Sematary: Bloodlines
820609;[27, 878, 53];2023-09-22;1195;6.7;No One Will Save You
893723;[16, 10751, 28, 878, 35, 18, 12];2023-09-21;465;7.0;PAW Patrol: The Mighty Movie
923939;[35, 14, 12];2023-09-20;1033;7.2;The Wonderful Story of Henry Sugar
859235;[10749, 18, 35];2023-09-15;373;6.217;Coup de Chance
792293;[36, 35, 18];2023-09-15;584;6.7;Dumb Money
353577;[10749, 18];2023-09-15;594;7.246;Love at First Sight
299054;[28, 12, 53];2023-09-15;1611;6.1;Expend4bles
986280;[10749, 35, 18];2023-09-14;557;7.2;Fallen Leaves
945729;[9648, 53, 80];2023-09-13;2392;6.613;A Haunting in Venice
820525;[10749, 18];2023-09-13;887;6.9;After Everything
1002185;[18, 36];2023-09-08;444;7.7;A Million Miles Away
937746;[12, 18];2023-09-07;687;7.8;Io Capitano
968051;[27];2023-09-06;2103;6.7;The Nun II
926393;[28, 53, 80];2023-08-30;3128;7.3;The Equalizer 3
814776;[35];2023-08-25;643;6.7;Bottoms
915935;[53, 9648, 80];2023-08-23;2626;7.552;Anatomy of a Fall
762430;[53, 28, 12];2023-08-23;1180;6.6;Retribution
999644;[35];2023-08-18;424;6.436;You Are So Not Invited to My Bat Mitzvah
912908;[35, 12];2023-08-17;842;7.247;Strays
565770;[28, 878, 12];2023-08-16;2694;6.7;Blue Beetle
980489;[12, 28, 18];2023-08-09;2823;7.8;Gran Turismo
724209;[53, 28];2023-08-09;1734;6.785;Heart of Stone
635910;[14, 27, 53];2023-08-09;1652;6.789;The Last Voyage of the Demeter
1070514;[35, 27];2023-08-03;558;6.6;Zom 100: Bucket List of the Dead
1110358;[35, 18];2023-08-02;611;7.088;Yannick
615656;[28, 878, 27];2023-08-02;3499;6.5;Meg 2: The Trench
614930;[16, 35, 28, 878];2023-07-31;1338;7.229;Teenage Mutant Ninja Turtles: Mutant Mayhem
930094;[35, 10749];2023-07-27;1318;7.987;Red, White & Royal Blue
1008042;[27];2023-07-26;3083;7.158;Talk to Me
616747;[35, 18, 27, 14];2023-07-26;1070;6.467;Haunted Mansion
872585;[18, 36];2023-07-19;9767;8.072;Oppenheimer
709631;[27];2023-07-19;902;6.488;Cobweb
346698;[35, 12];2023-07-19;9523;6.986;Barbie
856289;[28, 14, 10752];2023-07-15;389;7.1;Creation of the Gods I: Kingdom of Storms
805320;[53, 878, 27];2023-07-14;715;5.9;Bird Box Barcelona
508883;[16, 12, 14, 10751, 18];2023-07-14;1992;7.451;The Boy and the Heron
575264;[28, 12];2023-07-08;3992;7.54;Mission: Impossible - Dead Reckoning Part One
921636;[10749, 28, 35];2023-07-07;713;6.036;The Out-Laws
457332;[28, 35, 53];2023-07-06;987;6.9;Hidden Strike
614479;[27, 53];2023-07-05;1723;6.6;Insidious: The Red Door
496450;[16, 14, 28, 10749, 10751];2023-07-05;878;7.649;Miraculous: Ladybug & Cat Noir, The Movie
678512;[28, 18];2023-07-03;2479;7.995;Sound of Freedom
1040148;[16, 10751, 14, 35];2023-06-28;993;7.24;Ruby Gillman, Teenage Kraken
335977;[12, 28];2023-06-25;3527;6.566;Indiana Jones and the Dial of Destiny
1140066;[878, 53];2023-06-24;603;6.532;Paradise
988078;[10749, 18, 35];2023-06-23;871;6.59;Through My Window: Across the Sea
961323;[16, 10751, 28, 878, 12, 14, 18];2023-06-23;1136;7.9;Nimona
1083862;[16, 28, 27];2023-06-22;1006;7.3;Resident Evil: Death Island
864168;[35];2023-06-22;382;6.601;Joy Ride
1076364;[16, 12, 10751, 35];2023-06-15;410;7.5;Carl's Date
884605;[35, 10749];2023-06-15;3160;6.8;No Hard Feelings
976573;[16, 35, 10751, 14, 10749];2023-06-14;4655;7.619;Elemental
736769;[35, 878, 9648];2023-06-14;593;6.569;They Cloned Tyrone
298618;[12, 28, 878];2023-06-13;4385;6.673;The Flash
697843;[28, 53];2023-06-09;2517;7.432;Extraction 2
1010581;[10749, 18];2023-06-08;3509;7.844;My Fault
747188;[35, 18];2023-06-08;1973;6.464;Asteroid City
