IMDBID;TITLE;YEAR;GENRE;DIRECTOR;WRITER;ACTORS;IMDBRATING;IMDBVOTES;METASCORE;BOXOFFICE;RELEASED;RUNTIME;LANGUAGE;COUNTRY;RATED;AWARDS;META_CRITIC_RATING;ROTTEN_TOMATOES_RATING
tt2224075;Beverly Hills Chihuahua 3: Viva La Fiesta!;2012;Adventure, Comedy, Family;Lev L. Spiro;Dana Starfield, Jeffrey Bushell (characters);Marcus Coloma, Erin Cahill, Cedric Yarbrough, Frances Fisher;4.4;1,796;;;18 Sep 2012;89 min;English;USA;G;;;
tt1724962;Beyond Outrage;2012;Action, Crime, Drama;Takeshi Kitano;Takeshi Kitano;Toshiyuki Nishida, Tomokazu Miura, Takeshi Kitano;6.7;7,459;53;$3,878;06 Oct 2012;110 min;Japanese, Korean;Japan;R;3 wins & 7 nominations total;53/100;47%
tt1937449;At Any Price;2012;Drama, Sport, Thriller;Ramin Bahrani;Ramin Bahrani, Hallie Elizabeth Newton;Dennis Quaid, Zac Efron, Kim Dickens;5.6;8,068;61;$380,594;01 May 2013;105 min;English;United States;R;1 nomination;61/100;52%
tt1545106;Vamps;2012;Comedy, Horror, Romance;Amy Heckerling;Amy Heckerling;Alicia Silverstone, Krysten Ritter, Larry Wilmore;5.3;11,531;57;$3,361;02 Nov 2012;92 min;English;United States;PG-13;;57/100;58%
tt2041488;Thunderstruck;2012;Comedy, Family, Fantasy;John Whitesell;Eric Champnella, Jeff Farley;Kevin Durant, Taylor Gray, Jim Belushi;5.1;6,022;;$587,211;24 Aug 2012;94 min;English;United States;PG;;;27%
tt2330322;The Conspiracy;2012;Horror, Thriller;Christopher MacBride;Christopher MacBride;Aaron Poole, James Gilbert, Ian Anderson;6.2;13,489;;;08 Aug 2013;84 min;English;Canada;Not Rated;1 nomination;;86%
tt1441940;Broken;2012;Drama, Romance;Rufus Norris;Daniel Clay, Mark O'Rowe;Charlie Booty, Lily James, Tim Roth;7.2;15,304;53;;08 Mar 2013;91 min;English;United Kingdom;Not Rated;10 wins & 19 nominations;53/100;61%
tt1555093;The Seasoning House;2012;Drama, Horror, Thriller;Paul Hyett;Paul Hyett, Conal Palmer, Adrian Rigelsford;Rosie Day, Sean Pertwee, Kevin Howarth;6.1;11,317;;;21 Jun 2013;90 min;English;United Kingdom;Not Rated;3 wins & 1 nomination;;23%
tt2014338;Side by Side;2012;Documentary;Christopher Kenneally;Christopher Kenneally;Derek Ambrosi, Michael Ballhaus, Andrzej Bartkowiak;7.6;13,782;82;$58,825;22 Aug 2012;99 min;English;United States;Not Rated;1 nomination total;82/100;92%
tt2085795;Fairy Tail: The Phoenix Priestess;2012;Animation, Action, Adventure;Masaya Fujimori;Hiro Mashima, Masashi Sogo, Monica Rial;Aya Endô, Aya Hirano, Tetsuya Kakihara;7.0;2,501;;;18 Aug 2012;86 min;Japanese;Japan;TV-14;1 win & 5 nominations total;;
tt1815708;Freelancers;2012;Action, Crime, Drama;Jessy Terrero;L. Philippe Casseus;50 Cent, Robert De Niro, Forest Whitaker;4.7;10,824;;;12 Jan 2013;96 min;English;United States;R;;;
tt1673697;The Sapphires;2012;Biography, Comedy, Drama;Wayne Blair;Keith Thompson, Tony Briggs;Chris O'Dowd, Deborah Mailman, Jessica Mauboy;7.0;15,411;67;$2,450,867;09 Aug 2012;103 min;English, Aboriginal, Vietnamese;Australia;PG-13;27 wins & 26 nominations;67/100;91%
tt1996310;Lore;2012;Drama, Romance, War;Cate Shortland;Cate Shortland, Robin Mukherjee, Rachel Seiffert;Saskia Rosendahl, Kai-Peter Malina, Nele Trebs;7.1;16,103;76;$970,325;20 Sep 2012;109 min;German, English, Russian;Australia, Germany, United Kingdom;Not Rated;34 wins & 34 nominations;76/100;94%
tt2288005;A Turtle's Tale 2: Sammy's Escape from Paradise;2012;Animation, Adventure, Family;Vincent Kesteloot, Ben Stassen;Domonic Paris;Alan Shearman, Thomas Lee, Cinda Adams;5.6;2,598;;;13 Dec 2013;92 min;English;Belgium, United States, France, Italy;Not Rated;;;20%
tt1591071;Qwerty;2012;Comedy;Bill Sebastian;Juliet McDaniel;Dana Pupkin, Eric Hailey, Bill Redding;5.7;268;;;12 Apr 2012;90 min;English;United States;Not Rated;4 wins & 5 nominations;;60%
tt1680045;360;2011;Crime, Drama, Mystery;Fernando Meirelles;Peter Morgan, Arthur Schnitzler;Rachel Weisz, Jude Law, Anthony Hopkins;6.1;17,646;43;$100,343;25 Jul 2012;110 min;English, German, Arabic, French, Portuguese, Russian, Slovak;United Kingdom, Austria, France, Canada, Brazil, United States;R;3 nominations total;43/100;19%
tt2330866;The Thieves;2012;Action, Comedy, Crime;Dong-hoon Choi;Dong-hoon Choi, Ki-cheol Lee, Seong-hun Jeong;Kim Yoon-seok, Lee Jung-jae, Kim Hye-su;6.8;11,838;75;$685,839;25 Jul 2012;135 min;Korean, Cantonese, English, Mandarin, Japanese;South Korea, Hong Kong;Not Rated;14 wins & 31 nominations total;75/100;71%
tt2271565;Rape Zombie: Lust of the Dead;2012;Horror;Naoyuki Tomomatsu;Jirô Ishikawa, Naoyuki Tomomatsu;Rina Aikawa, Yui Aikawa, Kazuyoshi Akishima;3.7;1,325;;;26 Feb 2012;73 min;Japanese;Japan;Not Rated;;;
tt2125666;The Queen of Versailles;2012;Documentary;Lauren Greenfield;;Jaqueline Siegel, David Siegel, Lorraine Barrett;7.1;13,836;80;$2,401,999;16 Aug 2014;100 min;English, French;United States, Netherlands, United Kingdom, Denmark;PG;8 wins & 27 nominations;80/100;95%
tt2258337;Eega;2012;Action, Comedy, Drama;S.S. Rajamouli;S.S. Rajamouli, Janardhana Maharshi, Crazy Mohan;Sudeep, Nani, Samantha Ruth Prabhu;7.7;28,014;;;05 Jul 2012;145 min;Telugu, Tamil;India;Not Rated;43 wins & 23 nominations;;100%
tt2215719;Katy Perry: Part of Me;2012;Documentary, Biography, Music;Dan Cutforth, Jane Lipsitz;;Katy Perry, Adam Marcello, Casey Hooper;6.0;13,948;57;$25,326,071;05 Jul 2012;93 min;English, Portuguese;United States;PG;1 win total;57/100;75%
tt2043757;2-Headed Shark Attack;2012;Action, Adventure, Comedy, Horror, Sci-Fi, Thriller;Christopher Ray;Edward DeRuiter (story), H. Perry Horton (screenplay);Carmen Electra, Charlie O'Connell, Brooke Hogan, Christina Bach;2.5;6,586;;;17 Jan 2012;88 min;English;USA;R;;;
tt1132449;Lay the Favorite;2012;Comedy, Drama, Romance;Stephen Frears;D.V. DeVincentis, Beth Raymer;Rebecca Hall, Bruce Willis, Vince Vaughn;4.8;12,210;38;$20,998;22 Jun 2012;94 min;English, Spanish;United States, United Kingdom, France;R;1 nomination;38/100;18%
tt2006040;A Fantastic Fear of Everything;2012;Comedy, Horror;Crispian Mills, Chris Hopewell;Crispian Mills;Simon Pegg, Paul Freeman, Amara Karan;5.8;15,405;31;;08 Jun 2012;100 min;English;United Kingdom;R;1 win & 4 nominations;31/100;34%
tt1291547;After Porn Ends;2012;Documentary;Bryce Wagoner;;Amber Lynn, Asia Carrera, Bobby Slayton;5.7;8,165;;;21 May 2012;94 min;English;United States;Not Rated;;;
tt2011961;Ducoboo 2: Crazy Vacation;2012;Comedy, Family;Philippe de Chauveron;Bernard Godisiabois, Benoît Drousie, Marc de Chauveron;Elie Semoun, Joséphine de Meaux, Héléna Noguerra;4.3;605;;;25 Apr 2012;93 min;French;France;;;;
tt1183919;Marley;2012;Documentary, Biography, Music;Kevin Macdonald;;Bob Marley, Ziggy Marley, Rita Marley;7.9;14,671;82;$1,413,480;20 Apr 2012;144 min;English, French, German;United Kingdom, United States;PG-13;Nominated for 1 BAFTA Award1 win & 8 nominations total;82/100;95%
tt2104080;Radiostars;2012;Comedy, Drama;Romain Lévy;Romain Lévy, Mathieu Oullion, Philippe Mechelen;Manu Payet, Clovis Cornillac, Douglas Attal;6.0;1,486;;;11 Apr 2012;100 min;French;France;;3 wins;;
tt2062990;Plan de table;2012;Comedy, Romance;Christelle Raynal;Francis Nief, Christelle Raynal;Elsa Zylberstein, Franck Dubosc, Audrey Lamy;5.7;863;;;11 Apr 2012;84 min;French;France, Belgium, Luxembourg;;1 win;;
tt1565068;Piazza Fontana: The Italian Conspiracy;2012;Crime, Drama, Mystery;Marco Tullio Giordana;Paolo Cucchiarelli, Marco Tullio Giordana, Sandro Petraglia;Valerio Mastandrea, Pierfrancesco Favino, Michela Cescon;7.2;2,921;;;30 Mar 2012;129 min;Italian;Italy, France;;19 wins & 42 nominations;;
tt1507563;Dark Tide;2012;Adventure, Drama, Thriller;John Stockwell;Amy Sorlie, Ronnie Christensen;Halle Berry, Olivier Martinez, Ralph Brown;4.3;9,566;23;;12 Apr 2012;114 min;English;United States, United Kingdom, South Africa, Germany, France;PG-13;;23/100;0%
tt1602472;Two Days in New York;2012;Comedy, Drama, Romance;Julie Delpy, Marie Pillet;Julie Delpy, Alexia Landeau, Alexandre Nahon;Julie Delpy, Chris Rock, Albert Delpy;6.0;15,126;61;$633,210;28 Mar 2012;96 min;English, French, Italian;France, Germany, Belgium;R;1 win & 1 nomination total;61/100;66%
tt1651323;Breaking Wind;2012;Comedy;Craig Moss;Craig Moss;Heather Ann Davis, Eric Callero, Frank Pacheco;2.3;5,082;;;13 Jan 2012;82 min;English;United States;R;;;
tt1059836;Transit;2012;Action, Crime, Thriller;Antonio Negret;Michael Gilvary;Jim Caviezel, James Frain, Elisabeth Röhm;5.8;11,918;;;20 Apr 2012;88 min;English;United States;R;;;50%
tt1990181;Brake;2012;Thriller;Gabe Torres;Andrew Hilton, Timothy Mannion;Stephen Dorff, Chyler Leigh, JR Bourne;6.0;12,170;38;$4,876;17 May 2012;92 min;English;United States;R;;38/100;46%
tt2281345;A Magnificent Haunting;2012;Comedy, Drama, Fantasy;Ferzan Özpetek;Ferzan Özpetek, Federica Pontremoli;Elio Germano, Margherita Buy, Vittoria Puccini;6.6;5,529;;;16 Mar 2012;105 min;Italian, Turkish;Italy;;11 wins & 28 nominations;;69%
tt2076176;My Way;2012;Biography, Drama, Music;Florent-Emilio Siri;Julien Rappeneau, Florent-Emilio Siri;Jérémie Renier, Benoît Magimel, Monica Scattini;6.9;3,228;;;14 Mar 2012;148 min;French, Italian, English, Arabic;France, Belgium;;3 wins & 7 nominations;;83%
tt1757746;Extracted;2012;Drama, Sci-Fi;Nir Paniry;Nir Paniry, Gabriel Cowan, John Suits;Sasha Roiz, Jenny Mollen, Dominic Bogart;6.4;12,607;;;09 Sep 2013;89 min;English;United States;R;1 nomination;;
tt1876277;Into the White;2012;Action, Biography, Drama;Petter Næss;Ole Meldgaard, Dave Mango, Petter Næss;Florian Lukas, David Kross, Lachlan Nieboer;7.1;22,656;;$704;12 Apr 2013;104 min;English, Norwegian, German;Norway, Sweden, France;R;3 nominations;;45%
tt1465533;Columbus Circle;2012;Crime, Drama, Mystery;George Gallo;George Gallo, Kevin Pollak;Selma Blair, Amy Smart, Kevin Pollak;5.9;11,039;;;24 Jan 2013;82 min;English;United States;PG-13;;;
tt0455323;Being Flynn;2012;Drama;Paul Weitz;Paul Weitz, Nick Flynn;Paul Dano, Robert De Niro, Julianne Moore;6.4;17,991;53;$540,152;19 Apr 2012;102 min;English;United States;R;1 win total;53/100;49%
tt1867093;The Samaritan;2012;Action, Crime, Drama;David Weaver;Elan Mastai, David Weaver;Samuel L. Jackson, Luke Kirby, Ruth Negga;5.6;10,350;37;$2,521;20 Apr 2012;90 min;English;Canada;R;4 nominations;37/100;26%
tt2216240;A Hijacking;2012;Drama, Thriller;Tobias Lindholm;Tobias Lindholm;Pilou Asbæk, Søren Malling, Dar Salim;7.1;17,636;82;$414,437;20 Sep 2012;103 min;Danish, English, Somali;Denmark;R;19 wins & 26 nominations;82/100;96%
tt1800372;Cool Kids Don't Cry;2012;Drama, Family, Sport;Dennis Bots;Jacques Vriens, Karin van Holst Pellekaan;Hanna Obbeek, Nils Verkooijen, Fiona Livingston;7.4;4,195;;;15 Feb 2012;96 min;Dutch;Netherlands;;6 wins & 3 nominations total;;
tt1945062;About Cherry;2012;Drama;Stephen Elliott;Stephen Elliott, Lorelei Lee;Ashley Hinshaw, James Franco, Heather Graham;4.8;11,060;33;$3,003;09 Aug 2012;98 min;English;United States;R;;33/100;14%
tt1770734;Shadow Dancer;2012;Drama, Mystery, Thriller;James Marsh;Tom Bradby;Clive Owen, Andrea Riseborough, Gillian Anderson;6.2;13,113;71;$100,616;24 Aug 2012;101 min;English;United Kingdom, Ireland;R;8 wins & 9 nominations;71/100;85%
tt1969012;Love Is in the Air;2012;Comedy;Fausto Brizzi;Andrea Agnello, Fausto Brizzi, Marco Martani;Fabio De Luigi, Claudia Gerini, Filippo Timi;5.3;1,011;;;10 Feb 2012;97 min;Italian, French, English;Italy;;2 wins & 1 nomination;;
tt1924273;Ghost Graduation;2012;Adventure, Comedy, Fantasy;Javier Ruiz Caldera;Cristóbal Garrido, Adolfo Valor;Raúl Arévalo, Alexandra Jiménez, Javier Bódalo;6.3;3,717;;;01 Aug 2013;88 min;Spanish, English;Spain;R;4 wins & 1 nomination;;
tt1810697;Meeting Evil;2012;Crime, Drama, Mystery;Chris Fisher;Thomas Berger, Chris Fisher;Luke Wilson, Samuel L. Jackson, Leslie Bibb;5.3;12,775;;$525;30 Mar 2012;89 min;English;United States;R;;;13%
tt2063781;Smashed;2012;Drama;James Ponsoldt;Susan Burke, James Ponsoldt;Mary Elizabeth Winstead, Aaron Paul, Nick Offerman;6.7;18,015;71;$376,597;14 Dec 2012;81 min;English;United States;R;10 nominations;71/100;83%
tt1930294;Black Rock;2012;Horror, Thriller;Katie Aselton;Mark Duplass, Katie Aselton;Katie Aselton, Lake Bell, Kate Bosworth;4.8;9,981;46;;17 May 2013;83 min;English;United States;R;;46/100;51%
tt1450334;Pixie Hollow Games;2011;Animation, Short, Family;Bradley Raymond;Jeffrey M. Howard, David H. Steinberg;Megan Hilty, Brenda Song, Jason Dolley;7.0;1,992;;;19 Nov 2011;21 min;English;United States, India;Not Rated;1 nomination;;
tt1285241;Don 2;2011;Action, Crime, Thriller;Farhan Akhtar;Farhan Akhtar, Javed Akhtar, Salim Khan;Shah Rukh Khan, Florian Lukas, Om Puri;7.1;59,280;49;$3,680,306;23 Dec 2011;148 min;Hindi;India, Germany;Not Rated;10 wins & 21 nominations;49/100;63%
tt1701210;Day of the Falcon;2011;Action, Drama, History;Jean-Jacques Annaud;Menno Meyjes, Jean-Jacques Annaud, Alain Godard;Tahar Rahim, Antonio Banderas, Mark Strong;6.6;12,755;32;;01 Feb 2013;130 min;English;France, Italy, Qatar, Tunisia;R;1 nomination;32/100;11%
tt2108516;Finalmente la felicità;2011;Comedy;Leonardo Pieraccioni;Domenico Costanzo, Leonardo Pieraccioni, Giovanni Veronesi;Leonardo Pieraccioni, Ariadna Romero, Rocco Papaleo;5.3;732;;;16 Dec 2011;93 min;Italian;Italy;;;;
tt1686784;Flying Swords of Dragon Gate;2011;Action, Adventure;Tsui Hark;Tsui Hark;Jet Li, Xun Zhou, Kun Chen;5.9;8,708;57;$170,276;15 Dec 2011;122 min;Mandarin;China, Hong Kong;R;17 wins & 37 nominations total;57/100;68%
tt1980162;Kung Fu Panda: Secrets of the Masters;2011;Animation, Short, Action, Comedy, Family;Tony Leondis;Todd Berger, Paul McEvoy;Jack Black, Angelina Jolie, Dustin Hoffman, Seth Rogen;6.9;3,486;;;13 Dec 2011;23 min;English;USA;TV-PG;1 win & 1 nomination.;;
tt1846442;12 Dates of Christmas;2011;Comedy, Family, Fantasy;James Hayman;Aaron Mendelsohn, Janet Brownell, Blake Harris;Laura Miyata, Vijay Mehta, Amy Smart;6.3;8,760;;;11 Dec 2011;90 min;English;United States;PG;1 nomination total;;
tt2112999;Louis C.K.: Live at the Beacon Theater;2011;Comedy;Louis C.K.;Louis C.K.;Louis C.K.;8.3;10,402;;;08 Dec 2011;63 min;English;United States;;Won 1 Primetime Emmy. 1 win & 3 nominations total;;
tt1727516;Livid;2011;Fantasy, Horror;Alexandre Bustillo, Julien Maury;Julien Maury, Alexandre Bustillo;Chloé Coulloud, Félix Moati, Jérémy Kapone;5.7;7,969;;;01 Mar 2022;92 min;French;France;Not Rated;1 nomination;;89%
tt2062677;The Smurfs: A Christmas Carol;2011;Animation, Short, Adventure;Troy Quane;Todd Berger, Charles Dickens, Peyo;Fred Armisen, Hank Azaria, Gary Basaraba;6.1;1,674;;;19 Dec 2015;22 min;English;United States;G;1 nomination;;
tt1802197;The Lady;2011;Biography, Drama, History;Luc Besson;Rebecca Frayn;Michelle Yeoh, David Thewlis, Jonathan Raggett;7.0;11,382;43;$355,391;30 Nov 2011;132 min;English, Burmese;France, United Kingdom, Thailand;R;3 wins & 2 nominations;43/100;37%
tt1742683;Too Big to Fail;2011;Biography, Drama;Curtis Hanson;Peter Gould, Andrew Ross Sorkin;James Woods, John Heard, William Hurt;7.3;19,804;;;23 May 2011;99 min;English;United States;TV-MA;Nominated for 11 Primetime Emmys. 5 wins & 31 nominations total;;77%
tt1661099;X;2011;Crime, Drama, Thriller;Jon Hewitt;Belinda McClory, Jon Hewitt;Viva Bianca, Hanna Mangan Lawrence, Peter Docker;5.5;7,491;;;17 Nov 2011;90 min;English;Australia;Not Rated;1 nomination;;70%
tt1821597;Easy!;2011;Comedy, Drama;Francesco Bruni;Francesco Bruni, Giambattista Avellino;Fabrizio Bentivoglio, Barbora Bobulova, Stefano Brunori;6.6;1,752;;;18 Nov 2011;101 min;Italian;Italy;;16 wins & 19 nominations;;
tt1712159;11-11-11;2011;Horror, Mystery, Thriller;Darren Lynn Bousman;Darren Lynn Bousman;Timothy Gibbs, Michael Landes, Brendan Price;3.9;12,658;26;$32,771;11 Nov 2011;90 min;English, Spanish;United States, Spain;PG-13;;26/100;8%
tt1972663;Into the Abyss;2011;Documentary, Crime, Drama;Werner Herzog;Werner Herzog;Werner Herzog, Richard Lopez, Michael Perry;7.3;17,541;74;$223,880;30 Mar 2012;107 min;English;United States, United Kingdom, Germany;PG-13;2 wins & 13 nominations;74/100;92%
tt1876547;Zombie Apocalypse;2011;Action, Adventure, Horror;Nick Lyon;Craig Engler, Brooks Peck;Ving Rhames, Taryn Manning, Johnny Pacar;4.0;5,763;;;29 Oct 2011;87 min;English;United Kingdom, United States;R;1 win;;
tt1687221;I Don't Want to Go Back Alone;2010;Short, Drama, Romance;Daniel Ribeiro;Daniel Ribeiro;Ghilherme Lobo, Tess Amorim, Fabio Audi;8.2;7,910;;;18 Jul 2010;17 min;Portuguese;Brazil;;22 wins & 2 nominations;;
tt1631707;Enter Nowhere;2011;Mystery, Sci-Fi, Thriller;Jack Heller;Shawn Christensen, Jason Dolan;Katherine Waterston, Scott Eastwood, Sara Paxton;6.5;13,149;;;04 Apr 2014;90 min;English, German;United States;R;;;
tt1828224;The Legend of La Llorona;2011;Animation, Adventure, Family;Alberto Rodriguez;Ricardo Arnaiz, Omar Mustre, Alberto Rodriguez;Andrés Couturier, Mónica Del Carmen, Rafael Inclán;6.2;735;;;21 Oct 2011;75 min;Spanish, Nahuatl;Mexico;TV-G;;;
tt1753476;Bar Sport;2011;Comedy;Massimo Martelli;Stefano Benni, Massimo Martelli, Nicola Alvau;Claudio Bisio, Giuseppe Battiston, Antonio Catania;4.9;835;;;21 Oct 2011;93 min;Italian;Italy;;;;
tt2082180;Always;2011;Action, Drama, Romance;Song Il-gon;Song Il-gon, Roh Hong-Jin, Ji-Sun An;So Ji-seob, Han Hyo-joo, Kang Shin-il;7.7;11,820;;;20 Oct 2011;108 min;Korean;South Korea;;1 nomination total;;
tt1838571;Juan of the Dead;2011;Action, Comedy, Horror;Alejandro Brugués;Alejandro Brugués;Alexis Díaz de Villegas, Jorge Molina, Andros Perugorría;6.4;11,165;;$18,000;13 Jan 2012;92 min;Spanish, English;Spain, Cuba;Not Rated;8 wins & 5 nominations;;83%
tt1757742;Apartment 143;2011;Horror, Thriller;Carles Torrens;Rodrigo Cortés;Kai Lennox, Gia Mantegna, Michael O'Keefe;5.0;11,943;;$383;04 May 2012;80 min;English;Spain;R;1 nomination total;;14%
tt1117581;Arena;2011;Action, Thriller;Jonah Loop;Tony Giglio, Michael Hultquist (original screenplay), Robert Martinez (original screenplay);Samuel L. Jackson, Kellan Lutz, Johnny Messner, Katia Winter;4.8;11,726;;;11 Oct 2011;94 min;English, Mandarin;USA;R;;;
tt2075172;Ex 2: Still Friends?;2011;Comedy, Romance;Carlo Vanzina;Enrico Vanzina, Fausto Brizzi;Enrico Brignano, Teresa Mannino, Liz Solari;5.4;848;;;07 Oct 2011;98 min;Italian;Italy;;;;
tt1743724;Guilty of Romance;2011;Drama, Horror, Romance;Sion Sono;Mizue Kunizane, Sion Sono;Miki Mizuno, Makoto Togashi, Megumi Kagurazaka;6.8;5,972;56;;12 Nov 2011;144 min;Japanese;Japan;;1 win & 1 nomination;56/100;67%
tt0466893;Margaret;2011;Drama, Mystery;Kenneth Lonergan;Kenneth Lonergan;Anna Paquin, Matt Damon, Mark Ruffalo;6.5;18,676;61;$46,495;01 Jun 2012;150 min;English;United States;R;10 wins & 18 nominations;61/100;75%
tt1629374;Ronal the Barbarian;2011;Animation, Action, Adventure;Kresten Vestbjerg Andersen, Thorbjørn Christoffersen, Philip Einstein Lipski;Thorbjørn Christoffersen, Kresten Vestbjerg Andersen, Philip Einstein Lipski;Anders Juul, Hadi Ka-Koush, Lærke Winther;6.5;14,182;;;22 Dec 2011;89 min;Danish;Denmark, Belgium;Not Rated;4 nominations total;;
tt1987018;A Happy Event;2011;Comedy, Drama;Rémi Bezançon;Eliette Abecassis, Rémi Bezançon, Vanessa Portal;Louise Bourgoin, Pio Marmaï, Josiane Balasko;6.5;4,703;;;28 Sep 2011;107 min;French;France, Belgium;R;;;
tt1857913;The Sorcerer and the White Snake;2011;Action, Fantasy, Romance;Siu-Tung Ching;Tan Cheung;Jet Li, Shengyi Huang, Raymond Lam;5.8;9,073;41;$18,759;28 Sep 2011;102 min;Mandarin;China, Hong Kong;PG-13;1 win & 4 nominations total;41/100;29%
tt1660379;House of Tolerance;2011;Drama;Bertrand Bonello;Bertrand Bonello;Noémie Lvovsky, Hafsia Herzi, Céline Sallette;6.7;8,124;75;$19,327;25 Nov 2011;122 min;French;France;Not Rated;6 wins & 15 nominations;75/100;84%
tt1643222;Hell;2011;Horror, Sci-Fi, Thriller;Tim Fehlbaum;Tim Fehlbaum, Oliver Kahl, Thomas Wöbke;Lilo Baur, Marco Calamandrei, Lisa Vicari;5.9;12,485;;;10 Jul 2012;89 min;German, French;Germany, Switzerland;R;10 wins & 15 nominations;;
tt1634136;Violet & Daisy;2011;Action, Comedy, Crime;Geoffrey Fletcher;Geoffrey Fletcher;Saoirse Ronan, Alexis Bledel, James Gandolfini;6.0;13,495;43;$17,186;06 Jun 2013;88 min;English;United States;R;;43/100;23%
tt1756799;The Day;2011;Action, Drama, Horror;Douglas Aarniokoski;Luke Passmore;Shawn Ashmore, Brianna Barnes, Ashley Bell;5.2;13,480;41;$20,984;20 Sep 2012;87 min;English;United States;R;2 nominations;41/100;31%
tt1707392;Lovely Molly;2011;Drama, Horror;Eduardo Sánchez;Jamie Nash, Eduardo Sánchez;Gretchen Lodge, Johnny Lewis, Alexandra Holden;5.3;10,198;50;$18,464;29 Jun 2012;99 min;English;United States;R;1 win & 5 nominations;50/100;46%
tt1718835;My Worst Nightmare;2011;Comedy, Drama, Romance;Anne Fontaine;Anne Fontaine, Nicolas Mercier;Isabelle Huppert, Benoît Poelvoorde, André Dussollier;6.0;3,220;52;$21,952;09 Nov 2011;103 min;French, German, English, Flemish, Japanese;France, Belgium;Not Rated;;52/100;67%
tt1700844;The Deep Blue Sea;2011;Drama, Romance;Terence Davies;Terence Rattigan, Terence Davies;Rachel Weisz, Tom Hiddleston, Ann Mitchell;6.2;16,983;82;$1,126,525;25 Nov 2011;98 min;English;United Kingdom, Australia;R;5 wins & 13 nominations total;82/100;82%
tt1756851;Twixt;2011;Comedy, Fantasy, Horror;Francis Ford Coppola;Francis Ford Coppola;Val Kilmer, Bruce Dern, Elle Fanning;4.8;12,169;40;;11 Apr 2012;88 min;English;United States;R;2 nominations;40/100;36%
tt1969959;Box Office 3D: The Filmest of Films;2011;Comedy, Family;Ezio Greggio;Ezio Greggio, Fausto Brizzi, Marco Martani;Ezio Greggio, Maurizio Mattioli, Enzo Salvi;2.0;1,382;;;09 Sep 2011;90 min;Italian;Italy;;;;
tt1181614;Wuthering Heights;2011;Drama, Romance;Andrea Arnold;Andrea Arnold, Olivia Hetreed, Emily Brontë;Kaya Scodelario, James Howson, Solomon Glave;6.0;11,189;70;$100,915;11 Nov 2011;129 min;English;United Kingdom, Belgium;Not Rated;6 wins & 10 nominations;70/100;68%
tt1777608;Scooby-Doo! Legend of the Phantosaur;2011;Animation, Comedy, Family, Mystery;Ethan Spaulding;Doug Langdale;Frank Welker, Mindy Cohn, Grey Griffin, Matthew Lillard;6.8;1,959;;;06 Sep 2011;75 min;English;USA;Not Rated;2 nominations.;;
tt1877543;247°F;2011;Horror, Thriller;Beqa Jguburia, Levan Bakhia;Lloyd S. Wagner, Beqa Oniani;Scout Taylor-Compton, Christina Ulloa, Travis Van Winkle;4.8;7,023;;;01 Sep 2011;88 min;English, Ukrainian;Georgia, United States;R;;;
tt1536048;W.E.;2011;Drama, History, Romance;Madonna;Madonna, Alek Keshishian;Abbie Cornish, James D'Arcy, Andrea Riseborough;6.2;13,818;37;$583,455;20 Jan 2012;119 min;English, French, Russian;United Kingdom, United States;R;Nominated for 1 Oscar. 4 wins & 6 nominations total;37/100;13%
tt1797469;Page Eight;2011;Drama, Mystery, Thriller;David Hare;David Hare;Bill Nighy, Rachel Weisz, Tom Hughes;6.8;22,242;;;06 Nov 2011;99 min;English;United Kingdom;Not Rated;Won 1 Primetime Emmy. 2 wins & 21 nominations total;;94%
tt1525890;The Caller;2011;Drama, Horror, Mystery;Matthew Parkhill;Sergio Casci;Rachelle Lefevre, Stephen Moyer, Lorna Raver;6.0;12,408;;;22 Feb 2013;92 min;English;United Kingdom;R;1 nomination;;29%
tt1650407;Turn Me On, Dammit!;2011;Comedy, Romance;Jannicke Systad Jacobsen;Jannicke Systad Jacobsen, Olaug Nilssen;Helene Bergsholm, Malin Bjørhovde, Henriette Steenstrup;6.3;9,804;70;$126,085;19 Aug 2011;76 min;Norwegian, English;Norway;Not Rated;5 wins & 7 nominations;70/100;93%
tt2036416;You Are the Apple of My Eye;2011;Comedy, Drama, Romance;Giddens Ko;Giddens Ko;Kai Ko, Michelle Chen, Shao-Wen Hao;7.5;11,888;;;19 Aug 2011;109 min;Mandarin;Taiwan;;9 wins & 12 nominations total;;
tt1922612;Glee: The 3D Concert Movie;2011;Documentary, Comedy, Music;Kevin Tancharoen, Jennifer Arnold;Ian Brennan, Brad Falchuk, Ryan Murphy;Cory Monteith, Dianna Agron, Lea Michele;5.6;6,078;48;$11,862,398;12 Aug 2011;84 min;English;United States;PG;;48/100;60%
tt2025526;War of the Arrows;2011;Action;Han-min Kim;Han-min Kim;Park Hae-il, Ryu Seung-ryong, Kim Mu-yeol;7.1;12,966;;$251,200;10 Aug 2011;122 min;Korean, English, Chinese;South Korea;R;13 wins & 15 nominations total;;100%
tt2018130;Terrifier;2011;Short, Horror;Damien Leone;Damien Leone;Marie Maser, Mike Giannelli, Michael Chmiel;6.4;4,044;;;;20 min;English;United States;Not Rated;2 wins total;;
tt1845866;Teen Spirit;2011;Comedy, Drama, Fantasy;Gil Junger;David Kendall, Kathryn McCullough, Bob Young;Cassandra Scerbo, Carissa Fowler, Gabriela Lopez;5.4;7,624;;;07 Aug 2011;82 min;English;United States;TV-PG;;;
