IMDBID;TITLE;YEAR;GENRE;DIRECTOR;WRITER;ACTORS;IMDBRATING;IMDBVOTES;METASCORE;BOXOFFICE;RELEASED;RUNTIME;LANGUAGE;COUNTRY;RATED;AWARDS;META_CRITIC_RATING;ROTTEN_TOMATOES_RATING
tt2420756;Night of the Wolf;2014;Horror;Adrian Garcia Bogliano;Eric Stolze;Nick Damici, Ethan Embry, Lance Guest;6.0;8,686;51;;17 Nov 2014;95 min;English;Mexico, United States;Not Rated;2 wins & 7 nominations;51/100;60%
tt3715406;Atari: Game Over;2014;Documentary;Zak Penn;;Zak Penn, Joe Lewandowski, Robert Rentschler;6.7;6,138;;;20 Nov 2014;66 min;English, Spanish, German, French, Italian;United States;TV-14;;;
tt3263614;Kumiko, The Treasure Hunter;2014;Drama;David Zellner;David Zellner, Nathan Zellner;Rinko Kikuchi, Nobuyuki Katsube, Kanako Higashi;6.6;12,550;68;$623,383;20 Feb 2015;105 min;English, Japanese;United States;Not Rated;10 wins & 8 nominations;68/100;88%
tt3907734;La scuola più bella del mondo;2014;Comedy;Luca Miniero;Daniela Gambaro, Massimo Gaudioso, Luca Miniero;Christian De Sica, Rocco Papaleo, Lello Arena;4.9;444;;;13 Nov 2014;98 min;Italian;Italy;;;;
tt3324494;Next Time I'll Aim for the Heart;2014;Crime, Drama, Thriller;Cédric Anger;Cédric Anger, Yvan Stefanovitch, Martine Laroche;Guillaume Canet, Ana Girardot, Jean-Yves Berteloot;6.4;3,216;;$815;08 Mar 2016;111 min;French;France;Not Rated;5 nominations;;
tt3622120;Kilo Two Bravo;2014;Biography, Drama, Thriller;Paul Katis;Tom Williams;David Elliot, Mark Stanley, Scott Kyle;7.1;14,766;;$7,891;13 Nov 2015;108 min;English;United Kingdom;R;Nominated for 1 BAFTA Award4 wins & 7 nominations total;;100%
tt1641841;Skin Trade;2014;Action, Crime, Thriller;Ekachai Uekrongtham;Dolph Lundgren, Steven Elder, Gabriel Dowrick;Dolph Lundgren, Tony Jaa, Ron Perlman;5.6;8,690;39;$1,242;23 Apr 2015;96 min;English, Thai;Thailand, Canada, United States;R;;39/100;31%
tt3455224;Virunga;2014;Documentary, War;Orlando von Einsiedel;Orlando von Einsiedel;André Bauma, Emmanuel de Merode, Mélanie Gouby;8.1;12,359;95;;07 Nov 2014;100 min;English, French, Swahili;United Kingdom, The Democratic Republic of Congo;Not Rated;Nominated for 1 Oscar. 42 wins & 28 nominations total;95/100;100%
tt0910885;A Merry Friggin' Christmas;2014;Comedy, Drama;Tristram Shapeero;Phil Johnston;Joel McHale, Lauren Graham, Clark Duke;5.2;8,354;28;;22 Nov 2014;88 min;English, Dari;United States;PG-13;;28/100;14%
tt3061836;Cub;2014;Adventure, Horror;Jonas Govaerts;Roel Mondelaers, Jonas Govaerts;Maurice Luijten, Evelien Bosmans, Titus De Voogdt;5.9;6,224;49;;29 Oct 2014;84 min;Flemish, French, Dutch;Belgium, Netherlands;Not Rated;7 wins & 7 nominations;49/100;42%
tt3068192;Grace: The Possession;2014;Horror, Thriller;Jeff Chan;Jeff Chan, Chris Pare, Peter Huang;Alexia Fast, Lin Shaye, Alan Dale;4.6;3,928;;;21 Oct 2014;87 min;English;United States, Canada;R;2 wins & 7 nominations;;
tt2461132;Happy New Year;2014;Action, Comedy, Drama;Farah Khan;Althea Kaushal, Farah Khan, Mayur Puri;Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan;5.0;42,245;;;24 Oct 2014;180 min;Hindi;India;TV-14;19 wins & 31 nominations total;;53%
tt3358470;Soap Opera;2014;Comedy;Alessandro Genovesi;Alessandro Genovesi;Fabio De Luigi, Diego Abatantuono, Cristiana Capotondi;5.7;840;;;23 Oct 2014;86 min;Italian;Italy;;1 nomination;;
tt2145829;Robot Overlords;2014;Action, Adventure, Sci-Fi;Jon Wright;Mark Stay, Jon Wright;Ben Kingsley, Gillian Anderson, Callan McAuliffe;4.6;7,772;47;;03 Jul 2015;90 min;English;United Kingdom, Canada;PG-13;1 nomination total;47/100;61%
tt3831810;Big Driver;2014;Crime, Mystery, Thriller;Mikael Salomon;Stephen King, Richard Christian Matheson;Maria Bello, Ann Dowd, Will Harris;5.6;6,905;;;18 Oct 2014;87 min;English;United States, Canada;Not Rated;2 nominations total;;50%
tt2251281;Dark Was the Night;2014;Drama, Horror, Thriller;Jack Heller;Tyler Hisel;Kevin Durand, Lukas Haas, Bianca Kajlich;5.6;11,405;40;;24 Jul 2015;99 min;English;United States;Not Rated;2 wins;40/100;55%
tt2577172;Girl House;2014;Horror, Thriller;Jon Knautz, Trevor Matthews;Nick Gordon;Ali Cobrin, Adam DiMarco, George Carroll;5.5;10,030;;;14 Feb 2015;101 min;English;Canada;Not Rated;;;73%
tt3184934;The New Girlfriend;2014;Comedy, Drama, Romance;François Ozon;Ruth Rendell, François Ozon;Romain Duris, Anaïs Demoustier, Raphaël Personnaz;6.5;9,219;74;$146,754;18 Sep 2015;108 min;French;France;R;1 win & 7 nominations;74/100;80%
tt1531924;The Disappearance of Eleanor Rigby: Him;2013;Drama, Romance;Ned Benson;Ned Benson;James McAvoy, Jessica Chastain, Nina Arianda;6.8;10,463;63;;10 Oct 2014;89 min;English;United States;R;1 win & 3 nominations;63/100;
tt3720788;The Disappearance of Eleanor Rigby: Her;2013;Drama, Romance;Ned Benson;Ned Benson;Jessica Chastain, James McAvoy, Nina Arianda;6.8;9,849;67;;10 Oct 2014;100 min;English;United States;R;1 win & 3 nominations;67/100;
tt3202098;Lou! Journal infime;2014;Comedy;Julien Neel;Julien Neel, Marc Syrigas;Ludivine Sagnier, Kyan Khojandi, Lola Lasseron;6.0;656;;$287;08 Oct 2014;104 min;French;France, Belgium;Not Rated;;;17%
tt2481496;Mercy;2014;Horror, Thriller;Peter Cornwell;Stephen King, Matt Greenberg;Frances O'Connor, Shirley Knight, Chandler Riggs;4.9;5,933;;;07 Oct 2014;79 min;English;United States;R;;;
tt3390572;Haider;2014;Action, Crime, Drama;Vishal Bhardwaj;William Shakespeare, Basharat Peer, Vishal Bhardwaj;Shahid Kapoor, Tabu, Shraddha Kapoor;8.0;58,694;;$1,048,143;02 Oct 2014;160 min;Hindi;India;Not Rated;35 wins & 47 nominations;;89%
tt3764194;Unique Brothers;2014;Comedy, Romance;Alessio Maria Federici;Elena Bucaccio, Luca Miniero;Raoul Bova, Luca Argentero, Carolina Crescentini;;881;;;02 Oct 2014;89 min;Italian;Italy;;1 nomination;;
tt2905838;Bang Bang;2014;Action, Adventure, Comedy;Siddharth Anand;Sujoy Ghosh, Suresh Nair, Patrick O'Neill;Hrithik Roshan, Katrina Kaif, Pawan Malhotra;5.6;26,646;;$2,546,172;02 Oct 2014;153 min;Hindi, English;India, Czech Republic, Thailand;Not Rated;4 wins & 22 nominations;;20%
tt2978426;Sex, Love & Therapy;2014;Comedy, Romance;Tonie Marshall;Tonie Marshall, Sophie Kovess-Brun, Erwan Augoyard;Sophie Marceau, Patrick Bruel, André Wilms;5.4;2,386;;;01 Oct 2014;88 min;French;France, Belgium;Not Rated;;;
tt3776288;Sniper: Legacy;2014;Action, Thriller, War;Don Michael Paul;Michael Frost Beckner (based on characters created by), Crash Leyland (based on characters created by), John Fasano (story by), John Fasano (screenplay by), Don Michael Paul (screenplay by);Tom Berenger, Chad Michael Collins, Doug Allen, Dominic Mafham;5.3;4,457;;;23 Feb 2015;95 min;English;USA, Bulgaria;R;;;
tt3125652;Pasolini;2014;Biography, Drama;Abel Ferrara;Maurizio Braucci, Abel Ferrara, Nicola Tranquillino;Willem Dafoe, Ninetto Davoli, Riccardo Scamarcio;5.9;4,687;71;$30,757;10 May 2019;84 min;English, Italian, French;France, Belgium, Italy;Not Rated;2 wins & 5 nominations total;71/100;79%
tt2488778;The Keeping Room;2014;Drama, Western;Daniel Barber;Julia Hart;Brit Marling, Hailee Steinfeld, Sam Worthington;6.0;7,693;58;$27,166;25 Sep 2015;95 min;English;United States;R;3 wins & 8 nominations;58/100;75%
tt2707848;Saint Laurent;2014;Biography, Drama, Romance;Bertrand Bonello;Bertrand Bonello, Thomas Bidegain;Gaspard Ulliel, Jérémie Renier, Louis Garrel;6.1;6,646;52;$429,477;24 Sep 2014;150 min;French, English;France, Belgium;R;9 wins & 30 nominations total;52/100;63%
tt3417756;Shrew's Nest;2014;Drama, Horror, Thriller;Juanfer Andrés, Esteban Roel;Juanfer Andrés, Sofía Cuenca, Ángel Amorós;Macarena Gómez, Nadia de Santiago, Hugo Silva;6.7;7,912;;;25 Dec 2014;91 min;Spanish;Spain, France;Not Rated;5 wins & 4 nominations;;95%
tt2474972;Alien Outpost;2014;Action, Sci-Fi, Thriller;Jabbar Raisani;Blake Clifton, Jabbar Raisani;Adrian Paul, Reiley McClendon, Rick Ravanello;4.7;6,577;26;;30 Jan 2015;92 min;English;United Kingdom, South Africa;Not Rated;;26/100;20%
tt2369317;Space Station 76;2014;Comedy, Drama, Sci-Fi;Jack Plotnick;Jennifer Elise Cox, Sam Pancake, Jack Plotnick;Patrick Wilson, Liv Tyler, Marisa Coughlan;4.9;8,736;49;;03 Oct 2014;93 min;English;United States;R;2 nominations total;49/100;67%
tt3128900;Miss Meadows;2014;Comedy, Crime, Drama;Karen Leigh Hopkins;Karen Leigh Hopkins;Katie Holmes, James Badge Dale, Callan Mulvey;5.8;10,374;43;;14 Nov 2014;88 min;English;United States;Not Rated;1 nomination;43/100;21%
tt1745787;The Tribe;2014;Crime, Drama;Myroslav Slaboshpytskyi;Myroslav Slaboshpytskyi;Hryhoriy Fesenko, Yana Novikova, Rosa Babiy;7.0;12,244;78;$150,564;11 Sep 2014;126 min;Ukrainian Sign , Ukrainian;Ukraine, Netherlands;Unrated;29 wins & 25 nominations total;78/100;88%
tt2908856;My Old Lady;2014;Comedy, Drama, Romance;Israel Horovitz;Israel Horovitz, Jonathan Mason;Kevin Kline, Kristin Scott Thomas, Maggie Smith;6.4;10,280;52;$4,013,786;21 Nov 2014;107 min;English, French, Italian;United Kingdom, France, United States;PG-13;1 win & 1 nomination;52/100;62%
tt3538766;Messi;2014;Documentary, Biography, Sport;Álex de la Iglesia;Jorge Valdano Sáenz, Jorge Valdano;Lionel Messi, Johan Cruijff, Kike Domínguez;7.1;4,457;;;01 Jan 2015;93 min;Spanish;Spain;TV-Y;1 nomination total;;
tt3239442;The 10 Year Plan;2014;Comedy, Romance;J.C. Calciano;J.C. Calciano;Jack Turner, Michael Adam Hamilton, Teri Reeves;6.1;4,656;;;02 Jun 2015;90 min;English, Spanish;United States;Not Rated;10 wins & 1 nomination;;
tt2064968;The Longest Week;2014;Comedy, Drama, Romance;Peter Glanz;Peter Glanz, Juan Iglesias;Jason Bateman, Olivia Wilde, Billy Crudup;5.4;13,666;34;;05 Sep 2014;86 min;English, French, German;United States, India;PG-13;1 nomination total;34/100;6%
tt2093990;El nino;2014;Action, Adventure, Crime;Daniel Monzón;Jorge Guerricaechevarría, Daniel Monzón;Luis Tosar, Jesús Castro, Eduard Fernández;6.4;6,586;;$1,237;17 Apr 2015;136 min;Spanish, Arabic, English;Spain, France;Not Rated;13 wins & 42 nominations;;
tt2141751;God Help the Girl;2014;Drama, Music, Romance;Stuart Murdoch;Stuart Murdoch;Emily Browning, Olly Alexander, Hannah Murray;6.4;9,318;58;$102,757;05 Sep 2014;112 min;English;United Kingdom;Unrated;3 wins & 7 nominations total;58/100;68%
tt2639344;Love Is Strange;2014;Drama, Romance;Ira Sachs;Ira Sachs, Mauricio Zacharias;John Lithgow, Alfred Molina, Marisa Tomei;6.7;13,445;82;$2,262,223;18 Dec 2014;94 min;English, Russian;United States, Greece;R;2 wins & 24 nominations;82/100;93%
tt2345613;Leprechaun: Origins;2014;Fantasy, Horror;Zach Lipovsky;Harris Wilkinson;Dylan Postl, Stephanie Bennett, Andrew Dunbar;3.2;6,701;;;26 Aug 2014;90 min;English;United States, Canada;R;2 nominations;;0%
tt3699508;Jarhead 2: Field of Fire;2014;Action, Drama, War;Don Michael Paul;Berkeley Anderson, Ellis Black;Cole Hauser, Josh Kelly, Danielle Savre, Bokeem Woodbine;5.5;5,249;;;08 Aug 2014;103 min;English;USA;R;;;
tt3560686;The Fool;2014;Crime, Drama, Thriller;Yuriy Bykov;Yuriy Bykov;Artyom Bystrov, Natalya Surkova, Yuriy Tsurilo;8.0;17,150;83;;16 Sep 2015;116 min;Russian;Russia;;18 wins & 14 nominations total;83/100;93%
tt2378453;Avenged;2013;Action, Fantasy, Horror;Michael S. Ojeda;Michael S. Ojeda, Deon van Rooyen;Amanda Adrienne Smith, Marc Anthony Samuel, Rodney Rowland;5.5;4,560;;;06 Mar 2015;95 min;English;United States;R;1 win & 3 nominations total;;100%
tt3485166;The Pirates;2014;Action, Adventure, Comedy;Seok-hoon Lee;Seong-il Cheon;Kim Nam-gil, Son Ye-jin, Yoo Hae-jin;6.5;4,698;;$415,775;06 Aug 2014;130 min;Korean;South Korea;Not Rated;10 wins & 11 nominations total;;57%
tt3919322;Scooby-Doo! Frankencreepy;2014;Animation, Adventure, Comedy, Family, Fantasy, Horror, Mystery, Sci-Fi;Paul McEvoy, Sungku Cho, Young Won Jung, Jinsung Kim;James Krieg, Joseph Barbera (based on characters created by), William Hanna (based on characters created by);Frank Welker, Mindy Cohn, Grey Griffin, Matthew Lillard;6.7;1,595;;;19 Aug 2014;74 min;English;USA;TV-PG;1 nomination.;;
tt1666335;The Calling;2014;Drama, Horror, Mystery;Jason Stone;Scott Abramovitch, Michael Redhill;Susan Sarandon, Gil Bellows, Ellen Burstyn;5.9;9,424;46;;05 Aug 2014;108 min;English, Latin;United States, Canada, United Kingdom;R;4 nominations;46/100;55%
tt3892434;That Sugar Film;2014;Documentary;Damon Gameau;Damon Gameau;Damon Gameau, Hugh Jackman, Milla Bakaitis;7.4;11,054;56;$3,500;31 Jul 2015;90 min;English;Australia;Not Rated;4 wins & 2 nominations total;56/100;68%
tt3765326;Warsaw 44;2014;Drama, History, Romance;Jan Komasa;Jan Komasa;Józef Pawlowski, Zofia Wichlacz, Anna Próchniak;6.6;6,908;;;19 Sep 2014;130 min;Polish, German;Poland;;15 wins & 10 nominations total;;
tt3541262;The Admiral: Roaring Currents;2014;Action, History, War;Han-min Kim;Cheol-Hong Jeon, Han-min Kim;Choi Min-sik, Ryu Seung-ryong, Cho Jin-woong;7.1;13,484;;$2,589,811;30 Jul 2014;128 min;Korean, Japanese;South Korea;Not Rated;17 wins & 17 nominations total;;88%
tt3067144;Phineas and Ferb: Star Wars;2014;Animation, Short, Action;Robert Hughes, Sue Perrotto, George Elliott;Kyle Menke, Mike Bell, Michael Diederich;Vincent Martella, Ashley Tisdale, Thomas Brodie-Sangster;8.1;1007;;;26 Jul 2014;51 min;English, Brazilian Sign ;United States;TV-G;;;
tt3448226;Rampage: Capital Punishment;2014;Action, Crime, Thriller;Uwe Boll;Uwe Boll, Brendan Fletcher;Brendan Fletcher, Lochlyn Munro, Mike Dopud;6.0;7,153;;;14 Aug 2014;93 min;English;Canada, Germany;Not Rated;2 nominations;;
tt3214002;Video Games: The Movie;2014;Documentary, History;Jeremy Snead;Jeremy Snead;Sean Astin, Al Alcorn, Peter Armstrong;6.1;5,615;40;$23,043;18 Jul 2014;101 min;English;United States;Not Rated;1 win total;40/100;18%
tt2386278;Haunt;2013;Horror, Mystery, Romance;Mac Carter;Andrew Barrer;Jacki Weaver, Liana Liberato, Harrison Sloan Gilbertson;5.1;8,823;33;;09 Oct 2013;86 min;English;United States;R;;33/100;39%
tt2387408;The Damned;2013;Horror, Mystery, Thriller;Víctor Garcia;Richard D'Ovidio, David Higgins;Peter Facinelli, Sophia Myles, Nathalia Ramos;5.2;6,783;39;;29 Aug 2014;87 min;English, Spanish;United States;R;1 win & 1 nomination;39/100;8%
tt2107861;Walking on Sunshine;2014;Comedy, Drama, Musical;Max Giwa, Dania Pasquini;Joshua St Johnston;Annabel Scholey, Greg Wise, Giulio Berruti;5.4;6,476;;;29 May 2015;97 min;English, Italian;United Kingdom, United States, Italy;Not Rated;;;31%
tt3433358;Number One Fan;2014;Comedy, Drama, Thriller;Jeanne Herry;Jeanne Herry, Gaëlle Macé;Sandrine Kiberlain, Laurent Lafitte, Pascal Demolon;6.5;1,994;;$15,549;24 Sep 2014;104 min;French;France;PG;1 win & 7 nominations total;;79%
tt2996684;Animal;2014;Action, Adventure, Drama;Brett Simmons;Thommy Hutson, Catherine Trillo;Joey Lauren Adams, Elizabeth Gillies, Paul Iacono;4.7;7,576;;;01 Feb 2015;82 min;English;United States;Not Rated;;;50%
tt2044801;Kite;2014;Action, Crime, Thriller;Ralph Ziman;Yasuomi Umetsu, Brian Cox;India Eisley, Jaco Muller, Annabel Linder;4.4;6,902;19;;28 Aug 2014;90 min;English;South Africa, Mexico;R;4 nominations;19/100;0%
tt2558318;The Last Survivors;2014;Action, Sci-Fi, Thriller;Tom Hammock;Jacob Forman, Tom Hammock;Haley Lu Richardson, Booboo Stewart, Max Charles;5.3;4,011;;;03 Dec 2015;95 min;English;United States;Not Rated;3 wins & 2 nominations total;;75%
